,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,314 - River,666,298,2,966
Precinct,315 - Sedgefield,824,636,3,1463
Precinct,316 - South Morrison,1132,548,3,1683
Precinct,317 - Washington,585,43,0,628
Precinct,318 - Wilson,615,83,0,698
Precinct,319 - Saunders,1548,988,1,2537
Precinct,320 - Watkins,1819,1477,1,3297
Precinct,321 - Hilton,1115,756,3,1874
Precinct,322 - Warwick,718,409,0,1127
Precinct,NEWPORT NEWS CITY PROVISIONALS,1495,722,7,2224
Locality,Norfolk City,61334,23657,140,85131
Precinct,101 - Granby,1745,702,3,2450
Precinct,102 - Ocean View School,609,467,0,1076
Precinct,103 - Northside,948,669,4,1621
Precinct,104 - Titustown,745,188,2,935
Precinct,106 - 2nd Presbyterian,1459,751,4,2214
Precinct,107 - Wesley,969,482,1,1452
Precinct,201 - Larchmont School,1339,578,4,1921
Precinct,203 - Ghent Square,878,248,1,1127
Precinct,207 - Lambert's Point,1437,255,6,1698
Precinct,208 - Larchmont Library,977,515,2,1494
Precinct,210 - Maury,1431,436,4,1871
Precinct,211 - Chrysler Museum,2132,757,5,2894
Precinct,212 - Park Place,1059,136,1,1196
Precinct,213 - Taylor Elementary School,1826,420,7,2253
Precinct,214 - Virginia Zoo,1764,439,1,2204
Precinct,215 - Suburban Park,1024,546,0,1570
Precinct,218 - Willard,1836,974,2,2812
Precinct,301 - Ballentine,1320,240,2,1562
Precinct,302 - Tanners Creek,844,203,1,1048
Precinct,303 - Broad Creek,1685,140,1,1826
Precinct,304 - Coleman Place School,753,157,3,913
Precinct,305 - Lafayette-winona,1094,258,3,1355
Precinct,306 - Lindenwood,923,132,5,1060
Precinct,309 - Norview,2088,626,3,2717
Precinct,310 - Rosemont,2011,187,0,2198
Precinct,311 - Sherwood,1859,828,5,2692
Precinct,313 - Union Chapel,702,46,0,748
Precinct,402 - Berkley,1122,75,1,1198
Precinct,404 - Campostella,1230,105,0,1335
Precinct,405 - Chesterfield,1236,88,2,1326
Precinct,406 - Barron Black,794,483,1,1278
Precinct,408 - Calvary Revival Church,1163,717,3,1883
Precinct,409 - Fairlawn,884,467,2,1353
Precinct,411 - Ruffner Academy,613,42,1,656
Precinct,412 - Ingleside,1240,206,3,1449
Precinct,413 - Poplar Halls,1781,387,9,2177
Precinct,414 - Young Park,1141,87,0,1228
Precinct,415 - Lake Taylor High School,998,510,2,1510
Precinct,501 - Bayview,1201,908,4,2113
Precinct,503 - East Ocean View,1510,1208,5,2723
Precinct,504 - Larrymore,1047,601,1,1649
Precinct,505 - Little Creek,733,618,1,1352
Precinct,506 - Ocean View Golf Course,1506,779,4,2289
Precinct,507 - Pretlow,1104,697,4,1805
Precinct,509 - Tarrallton,933,982,4,1919
Precinct,510 - 3rd Presbyterian,1037,1015,6,2058
Precinct,511 - Crossroads,1074,794,3,1871
Precinct,512 - Azalea Gardens,725,464,0,1189
Precinct,Provisional,2805,1044,14,3863
Locality,Northampton County,3687,3047,8,6742
Precinct,101 - Precinct 1-1,870,861,1,1732
Precinct,201 - Precinct 2-1,748,489,2,1239
Precinct,301 - Precinct 3-1,727,404,0,1131
Precinct,401 - Precinct 4-1,750,671,4,1425
Precinct,501 - Precinct 5-1,544,582,1,1127
Precinct,NORTHAMPTON COUNTY PROVISIONALS,48,40,0,88
Locality,Northumberland County,3253,4912,7,8172
Precinct,101 - 1a,549,892,0,1441
Precinct,201 - 2a,550,976,4,1530
Precinct,301 - 3a,793,467,1,1261
Precinct,401 - 4a,652,1245,1,1898
Precinct,501 - 5a,671,1283,1,1955
Precinct,NORTHUMBERLAND COUNTY PROVISIONALS,38,49,0,87
Locality,Norton City,606,973,2,1581
Precinct,001 - East Ward,588,957,2,1547
Precinct,NORTON CITY PROVISIONALS,18,16,0,34
Locality,Nottoway County,2800,4000,10,6810
Precinct,101 - Precinct 1-1,412,749,4,1165
Precinct,201 - Precinct 2-1,426,1045,1,1472
Precinct,301 - Precinct 3-1,546,504,1,1051
Precinct,302 - Precinct 3-2,133,194,2,329
Precinct,401 - Precinct 4-1,512,188,0,700
Precinct,402 - Precinct 4-2,172,388,2,562
Precinct,501 - Precinct 5-1,544,870,0,1414
Precinct,NOTTOWAY COUNTY PROVISIONALS,55,62,0,117
Locality,Orange County,8725,13289,43,22057
Precinct,101 - 1 WEST,847,1182,5,2034
Precinct,102 - 1 EAST,505,971,4,1480
Precinct,103 - 1 TOWN,398,350,0,748
Precinct,201 - 2 WEST,592,1302,2,1896
Precinct,202 - 2 EAST,577,1780,6,2363
Precinct,301 - 3 WEST,190,295,0,485
Precinct,302 - 3 EAST,358,829,1,1188
Precinct,303 - 3 TOWN,1084,1054,3,2141
Precinct,401 - 4 WEST,691,1599,8,2298
Precinct,402 - 4 EAST,971,1072,3,2046
Precinct,501 - 5 SOUTH,1084,1191,2,2277
Precinct,502 - 5 NORTH,1283,1449,7,2739
Precinct,ORANGE COUNTY PROVISIONALS,145,215,2,362
Locality,Page County,3618,9354,21,12993
Precinct,101 - West Luray,919,1672,7,2598
Precinct,201 - East Luray,888,1744,4,2636
Precinct,301 - Marksville,684,2170,2,2856
Precinct,401 - Newport,547,1695,4,2246
Precinct,501 - Shenandoah,531,1930,4,2465
Precinct,PAGE COUNTY PROVISIONALS,49,143,0,192
Locality,Patrick County,2391,7005,9,9405
Precinct,101 - Ararat,164,459,0,623
Precinct,102 - Claudville,127,434,1,562
Precinct,103 - Willis Gap,117,509,0,626
Precinct,201 - Dry Pond,107,340,0,447
Precinct,202 - Patrick Springs,210,543,0,753
Precinct,203 - Russell Creek,200,546,1,747
Precinct,301 - Critz/stella,346,874,2,1222
Precinct,302 - Liberty,123,556,1,680
Precinct,401 - Meadows Of Dan,243,553,0,796
Precinct,402 - Stuart Fairgrounds,169,339,1,509
Precinct,403 - Stuart Community,120,311,1,432
Precinct,502 - Elamsville,214,700,0,914
Precinct,503 - Woolwine,216,737,2,955
Precinct,PATRICK COUNTY PROVISIONALS,35,104,0,139
Locality,Petersburg City,11254,1583,22,12859
Precinct,101 - 1st WARD 1st,1283,185,4,1472
Precinct,201 - 2nd WARD 1st,1806,191,2,1999
Precinct,301 - 3rd WARD 1st,1911,422,2,2335
Precinct,401 - 4th WARD 1st,1430,270,4,1704
Precinct,501 - 5th WARD 1st,1311,171,6,1488
Precinct,601 - 6th WARD 1st,1487,106,0,1593
Precinct,701 - 7th WARD 1st,1680,180,3,1863
Precinct,PETERSBURG CITY PROVISIONALS,346,58,1,405
Locality,Pittsylvania County,10523,22725,42,33290
Precinct,103 - Twin Springs,609,2048,2,2659
Precinct,105 - Chatham,237,530,0,767
Precinct,106 - Tunstall,298,894,2,1194
Precinct,108 - West Blairs,243,462,1,706
Precinct,201 - Callands,246,766,1,1013
Precinct,202- Bearskin,221,357,1,579
Precinct,204 - Sandy Level,182,520,0,702
Precinct,206 - Climax,187,535,0,722
Precinct,207 - Gretna,445,1097,1,1543
Precinct,301 - Central,541,490,1,1032
Precinct,305 - Riceville,372,385,2,759
Precinct,307 - East Blairs,798,400,2,1200
Precinct,308 - Mt Airy,330,313,0,643
Precinct,309 - East Gretna,221,300,1,522
Precinct,402 - Keeling,239,790,1,1030
Precinct,404 - Kentuck,511,1362,6,1879
Precinct,405 - Ringgold,579,1448,2,2029
Precinct,501 - Hurt,577,1132,2,1711
Precinct,502 - Motley Sycamore,601,1460,3,2064
Precinct,503 - Renan,167,583,0,750
Precinct,603 - Stony Mill,374,957,3,1334
Precinct,604 - Swansonville,201,514,0,715
Precinct,605 - Whitmell,294,747,1,1042
Precinct,606 - Brosville,434,601,2,1037
Precinct,607 - Dry Fork,117,339,0,456
Precinct,702 - Bachelors Hall,279,1075,3,1357
Precinct,703 - Ferry Road,97,194,2,293
Precinct,704 - Mt Hermon,684,1374,2,2060
Precinct,705 - Mt Cross,262,781,0,1043
Precinct,PITTSYLVANIA COUNTY PROVISIONALS,177,271,1,449
Locality,Poquoson City,2273,5729,10,8012
Precinct,001 - Central,741,1838,0,2579
Precinct,002 - Eastern,689,1896,6,2591
Precinct,003 - Western,796,1893,4,2693
Precinct,POQUOSON CITY PROVISIONALS,47,102,0,149
Locality,Portsmouth City,28791,11581,30,40402
Precinct,001 - Emanuel A. M. E. Church,1141,362,1,1504
Precinct,005 - Charles A. Fisher Memorial Academy,685,53,1,739
Precinct,007- Park View Elementary School,762,205,0,967
Precinct,009 - 3rd Baptist Church,1079,201,3,1283
Precinct,010 - Mount Hermon Preschool Center,467,218,0,685
Precinct,011 - Joseph E. Parker Recreation Center,843,34,0,877
Precinct,013 - St. Mark Missionary Baptist Church,485,38,1,524
Precinct,014 - Brighton Elementary School,985,91,0,1076
Precinct,016 - Cradock Middle School,792,280,0,1072
Precinct,017 - Victory Life Fellowship,973,394,2,1369
Precinct,019 - Victory Elementary School,419,269,0,688
Precinct,020 - Noble Street Baptist Church,970,269,0,1239
Precinct,021 - Hendricks/Kendall Recreation Center,618,43,0,661
Precinct,022 - St. Mark Deliverance Center,704,469,0,1173
Precinct,023 - Westhaven Baptist Church,567,605,0,1172
Precinct,024 - The Senior Station,649,306,0,955
Precinct,025 - Waterview Elementary School,856,475,2,1333
Precinct,026 - William E. Waters Middle School,1131,77,0,1208
Precinct,027 - Cavalier Manor Recreation Center,1022,69,3,1094
Precinct,028 - Lakeview Elementary School,1642,72,1,1715
Precinct,029 - Manor High School,364,513,2,879
Precinct,030 - The Rescue Church,485,669,0,1154
Precinct,031 - West Park Church Of Christ,1152,548,2,1702
Precinct,032 - Hodges Manor Elementary School,537,547,3,1087
Precinct,033- Pinecrest Baptist Church,356,571,0,927
Precinct,034- Churchland Branch Library,718,602,1,1321
Precinct,035 - Churchland Elementary School,849,727,1,1577
Precinct,036 - Churchland High School,1707,1077,0,2784
Precinct,037 - Churchland Middle School,1451,616,3,2070
Precinct,038 - Grove Baptist Church,1713,297,1,2011
Precinct,039 - Churchland Primary And Intermediate School,1905,591,1,2497
Precinct,PORTSMOUTH CITY PROVISIONALS,764,293,2,1059
Locality,Powhatan County,5949,14844,16,20809
Precinct,101 - Subletts,597,1459,1,2057
Precinct,102 - Manakin,587,1097,1,1685
Precinct,103 - Flat Rock,207,589,2,798
Precinct,201 - Powhatan Station,374,1262,1,1637
Precinct,202 - Graceland,578,1624,4,2206
Precinct,301 - Bethesda,638,1639,0,2277
Precinct,302 - Lee's Landing,659,1434,1,2094
Precinct,401 - Powhatan Courthouse,812,2177,1,2990
Precinct,402 - Mt Zion,288,906,2,1196
Precinct,501 - Smith Cross Roads,604,1104,1,1709
Precinct,502 - Pineville,348,648,1,997
Precinct,503 - Tobaccoville,194,749,1,944
Precinct,POWHATAN COUNTY PROVISIONALS,63,156,0,219
Locality,Prince Edward County,4617,4567,14,9198
Precinct,101 - Farmville,616,574,4,1194
Precinct,201 - Lockett,641,802,0,1443
Precinct,301 - Leigh,463,516,1,980
Precinct,302 - Mt Pleasant,218,202,5,425
Precinct,401 - Hampden,454,508,0,962
Precinct,501 - Darlington Hts,273,429,0,702
Precinct,502 - Buffalo Hts,212,218,2,432
Precinct,601 - Prospect,710,657,0,1367
Precinct,701 - West End,550,403,0,953
Precinct,801 - Center,343,105,0,448
Precinct,PRINCE EDWARD COUNTY PROVISIONALS,137,153,2,292
Locality,Prince George County,7048,10010,13,17071
Precinct,101 - Richard Bland,405,636,1,1042
Precinct,102 - Templeton,733,2224,2,2959
Precinct,103 - Union Branch,705,1002,2,1709
Precinct,104 - Rives,607,540,1,1148
Precinct,105 - Harrison,156,574,0,730
Precinct,201 - Bland,1158,1694,1,2853
Precinct,202 - Blackwater,676,1166,0,1842
Precinct,203 - Brandon,204,502,1,707
Precinct,204 - Courts,1217,967,2,2186
Precinct,205 - Jefferson Park,970,533,3,1506
Precinct,PRINCE GEORGE COUNTY PROVISIONALS,217,172,0,389
Locality,Prince William County,137060,87310,711,225081
Precinct,101 - Brentsville,788,1687,4,2479
Precinct,102 - Cedar Point,1154,991,6,2151
Precinct,103 - Glenkirk,1515,1321,8,2844
Precinct,104 - Nokesville,1351,1823,6,3180
Precinct,105 - Piney Branch,1264,1113,9,2386
Precinct,106 - Unity Reed,469,258,1,728
Precinct,107 - Marsteller,1640,1256,8,2904
Precinct,108 - Victory,1584,1116,3,2703
Precinct,109 - Chris Yung,1499,1107,8,2614
Precinct,110 - Buckland Mills,1519,1230,11,2760
Precinct,111 - Limestone,1689,1471,7,3167
Precinct,112 - Burke-nickens,1862,1606,3,3471
Precinct,113 - Lakes,1353,1037,9,2399
Precinct,114 - Bristow Run,1727,1438,8,3173
Precinct,201 - Hylton,1452,802,6,2260
Precinct,202 - West Gate,813,418,1,1232
Precinct,203 - Bennett,1790,1275,5,3070
Precinct,204 - Ellis,954,618,1,1573
Precinct,205 - Buckhall,944,961,4,1909
Precinct,206 - Coles,1334,1314,15,2663
Precinct,207 - Spriggs,1418,904,5,2327
Precinct,208 - Colgan,759,762,3,1524
Precinct,209 - Independent Hill,718,1193,5,1916
Precinct,210 - Yates Ford,1286,1372,9,2667
Precinct,211 - Signal Hill,892,545,2,1439
Precinct,212 - Yorkshire,1047,770,3,1820
Precinct,213 - Parkside,930,720,7,1657
Precinct,214 - Lucasville,1151,1345,6,2502
Precinct,215 - Saunders,1494,634,21,2149
Precinct,301 - Dumfries,1350,504,7,1861
Precinct,302 - Potomac,1652,481,10,2143
Precinct,303 - Graham Park,932,400,4,1336
Precinct,304 - Quantico,193,213,1,407
Precinct,305 - Forest Park,1379,966,4,2349
Precinct,306 - 4 Seasons,1480,810,2,2292
Precinct,307 - Henderson,1222,836,3,2061
Precinct,308 - Montclair,824,548,6,1378
Precinct,309 - Ashland,1147,723,5,1875
Precinct,310 - Forest Park,1355,627,10,1992
Precinct,311 - Swans Creek,1503,583,4,2090
Precinct,312 - Triangle,1684,735,6,2425
Precinct,313 - Cardinal,1664,798,9,2471
Precinct,314 - Cabin Branch,1243,708,6,1957
Precinct,315 - Williams,1702,490,9,2201
Precinct,316 - Potomac Shores,1948,730,7,2685
Precinct,401 - Evergreen,1106,1514,1,2621
Precinct,402 - Gravely,1443,1933,5,3381
Precinct,403 - Bull Run,1386,1123,7,2516
Precinct,404 - Unity Braxton,825,463,5,1293
Precinct,405 - Ben Lomond,1178,624,4,1806
Precinct,406 - Alvey,1457,1401,3,2861
Precinct,407 - Heritage Hunt,1831,1573,5,3409
Precinct,408 - Sudley,791,664,4,1459
Precinct,409 - Tyler,2073,1608,15,3696
Precinct,410 - Mountain View,1633,1626,3,3262
Precinct,411 - Mullen,1438,630,4,2072
Precinct,412 - Catharpin,782,1171,1,1954
Precinct,413 - Reagan,1362,1425,5,2792
Precinct,414 - Seymour,972,508,6,1486
Precinct,501 - Springwoods,1757,923,16,2696
Precinct,502 - Occoquan,1432,736,4,2172
Precinct,503 - Mohican,941,446,5,1392
Precinct,504 - Rockledge,1158,589,1,1748
Precinct,505 - Lake Ridge,1656,949,10,2615
Precinct,506 - Old Bridge,1207,679,4,1890
Precinct,507 - Chinn,1802,738,8,2548
Precinct,508 - Purcell,1275,1207,1,2483
Precinct,509 - Mc Coart,1577,1256,5,2838
Precinct,510 - County Center,451,121,3,575
Precinct,511 - Westridge,1797,996,5,2798
Precinct,512 - York,1218,379,7,1604
Precinct,513 - Woodbridge,1701,1067,11,2779
Precinct,514 - Antietam,1627,910,4,2541
Precinct,515 - Marshall,1075,1025,4,2104
Precinct,516 - Kerrydale,646,295,5,946
Precinct,601 - Dale,1361,497,10,1868
Precinct,602 - Beville,1741,754,18,2513
Precinct,603 - Hampton,1428,584,8,2020
Precinct,604 - Gar-Field,1245,438,7,1690
Precinct,605 - Minnieville,886,473,6,1365
Precinct,606 - Bel Air,1265,686,6,1957
Precinct,607 - Hillendale,933,446,7,1386
Precinct,608 - Enterprise,1726,868,21,2615
Precinct,609 - King,1064,537,21,1622
Precinct,610 - Fitzgerald,1575,609,14,2198
Precinct,611 - Neabsco,1581,663,10,2254
Precinct,612 - Elm Farm,882,452,8,1342
Precinct,613 - Hoadly,428,146,3,577
Precinct,614 - Rosa Parks,1489,670,11,2170
Precinct,615 - Commons,192,47,0,239
Precinct,616 - Markham,518,98,0,616
Precinct,701 - Belmont,1625,844,6,2475
Precinct,702 - Library,1751,599,2,2352
Precinct,703 - Lynn,1028,330,2,1360
Precinct,704 - Porter,1499,469,9,1977
Precinct,705 - Potomac View,918,502,3,1423
Precinct,706 - Rippon,1619,778,9,2406
Precinct,707 - Kilby,1282,636,9,1927
Precinct,708 - River Oaks,1792,518,6,2316
Precinct,709 - Freedom,1388,440,12,1840
Precinct,710 - Powells Creek,1592,470,15,2077
Precinct,711 - Grayson,1423,572,4,1999
Precinct,712 - Leesylvania,1509,780,8,2297
Precinct,PRINCE WILLIAM COUNTY PROVISIONALS,4049,2586,38,6673
Locality,Pulaski County,5655,11743,16,17414
Precinct,101 - Belspring,196,487,1,684
Precinct,102 - New River,902,1296,2,2200
Precinct,103 - West Cloyd,226,524,2,752
Precinct,201 - Draper,352,949,1,1302
Precinct,202 - South Pulaski,104,173,1,278
Precinct,203 - Newbern,712,1284,2,1998
Precinct,301 - Dublin,663,1560,1,2224
Precinct,302 - Hiwassee,117,309,0,426
Precinct,304 - Snowville,278,805,2,1085
Precinct,402 - Walker,163,608,0,771
Precinct,403 - West Massie,647,1178,2,1827
Precinct,404 - East Massie,177,413,0,590
Precinct,501 - Robinson,1014,1975,2,2991
Precinct,PULASKI COUNTY PROVISIONALS,104,182,0,286
Locality,Radford City,3423,3051,16,6490
Precinct,001 - East,740,511,4,1255
Precinct,002 - Central,914,884,4,1802
Precinct,003 - West,878,1071,2,1951
Precinct,004 - New River,613,394,3,1010
Precinct,RADFORD CITY PROVISIONALS,278,191,3,472
Locality,Rappahannock County,2053,2947,16,5016
Precinct,101 - Washington,461,536,0,997
Precinct,201 - Amissville,319,765,2,1086
Precinct,301 - Sperryville,479,463,1,943
Precinct,401 - Scrabble,402,546,10,958
Precinct,501 - Chester Gap,104,307,1,412
Precinct,502 - Flint Hill,272,296,2,570
Precinct,RAPPAHANNOCK COUNTY PROVISIONALS,16,34,0,50
Locality,Richmond City,89672,17400,242,107314
Precinct,101 - One Hundred One,403,229,1,633
Precinct,102 - One Hundred Two,681,435,0,1116
Precinct,104 - One Hundred Four,1015,735,2,1752
Precinct,105 - One Hundred Five,1085,465,1,1551
Precinct,106 - One Hundred Six,874,957,0,1831
Precinct,111 - One Hundred Eleven,1048,472,2,1522
Precinct,112 - One Hundred Twelve,947,314,3,1264
Precinct,113 - One Hundred Thirteen,2032,304,6,2342
Precinct,114 - One Hundred Fourteen,1943,371,8,2322
Precinct,115 - One Hundred Fifteen,750,550,0,1300
Precinct,204 - Two Hundred Four,1291,244,1,1536
Precinct,206 - Two Hundred Six,732,122,4,858
Precinct,207 - Two Hundred Seven,1782,333,6,2121
Precinct,208 - Two Hundred Eight,1869,355,8,2232
Precinct,213 - Two Hundred Thirteen,1563,119,9,1691
Precinct,214 - Two Hundred Fourteen,828,99,5,932
Precinct,215 - Two Hundred Fifteen,1819,481,6,2306
Precinct,216 - Two Hundred Sixteen,361,30,2,393
Precinct,301 - Three Hundred One,766,64,2,832
Precinct,302 - Three Hundred Two,859,144,2,1005
Precinct,303 - Three Hundred Three,842,75,4,921
Precinct,304 - Three Hundred Four,1424,105,4,1533
Precinct,305 - Three Hundred Five,1363,161,8,1532
Precinct,306 - Three Hundred Six,625,46,1,672
Precinct,307 - Three Hundred Seven,2315,501,6,2822
Precinct,308 - Three Hundred Eight,1213,247,4,1464
Precinct,309 - Three Hundred Nine,567,148,3,718
Precinct,310 - Three Hundred Ten,274,24,1,299
Precinct,311 - Three Hundred Eleven,521,68,2,591
Precinct,402 - Four Hundred Two,2404,513,3,2920
Precinct,404 - Four Hundred Four,1396,291,0,1687
Precinct,409 - Four Hundred Nine,1143,551,1,1695
Precinct,410 - Four Hundred Ten,1211,397,2,1610
Precinct,412 - Four Hundred Twelve,1516,289,4,1809
Precinct,413 - Four Hundred Thirteen,1258,389,0,1647
Precinct,414 - Four Hundred Fourteen,1302,544,1,1847
Precinct,415 - Four Hundred Fifteen,1106,494,3,1603
Precinct,501 - Five Hundred One,1806,265,7,2078
Precinct,503 - Five Hundred Three,1782,194,7,1983
Precinct,504 - Five Hundred Four,1880,227,6,2113
Precinct,505 - Five Hundred Five,1013,136,1,1150
Precinct,508 - Five Hundred Eight,881,130,2,1013
Precinct,509 - Five Hundred Nine,1041,96,4,1141
Precinct,510 - Five Hundred Ten,1560,169,6,1735
Precinct,602 - Six Hundred Two,767,40,2,809
Precinct,603 - Six Hundred Three,845,62,2,909
Precinct,604 - Six Hundred Four,954,80,2,1036
Precinct,606 - Six Hundred Six,1520,100,3,1623
Precinct,607 - Six Hundred Seven,1236,238,5,1479
Precinct,609 - Six Hundred Nine,1476,225,4,1705
Precinct,610 - Six Hundred Ten,806,43,2,851
Precinct,611 - Six Hundred Eleven,1207,141,1,1349
Precinct,701 - Seven Hundred One,717,46,1,764
Precinct,702 - Seven Hundred Two,1195,110,2,1307
Precinct,703 - Seven Hundred Three,1513,138,9,1660
Precinct,705 - Seven Hundred Five,1341,135,2,1478
Precinct,706 - Seven Hundred Six,1897,246,9,2152
Precinct,707 - Seven Hundred Seven,2534,309,9,2852
Precinct,708 - Seven Hundred Eight,1067,158,3,1228
Precinct,709 - Seven Hundred Nine,837,148,3,988
Precinct,802 - Eight Hundred Two,1014,61,5,1080
Precinct,806 - Eight Hundred Six,1135,126,2,1263
Precinct,810 - Eight Hundred Ten,864,116,2,982
Precinct,811 - Eight Hundred Eleven,1116,144,2,1262
Precinct,812 - Eight Hundred Twelve,1635,235,4,1874
Precinct,814 - Eight Hundred Fourteen,790,77,0,867
Precinct,902 - Nine Hundred Two,401,42,0,443
Precinct,903 - Nine Hundred Three,1084,153,2,1239
Precinct,908 - Nine Hundred Eight,1144,137,1,1282
Precinct,909 - Nine Hundred Nine,1221,154,3,1378
Precinct,910 - Nine Hundred Ten,1084,155,0,1239
Precinct,911 - Nine Hundred Eleven,1100,84,0,1184
Precinct,Provisional,4081,814,14,4909
Locality,Richmond County,1562,2550,1,4113
Precinct,101 - Precinct 1-1,449,370,0,819
Precinct,201 - Precinct 2-1,213,462,0,675
Precinct,301 - Precinct 3-1,316,512,0,828
Precinct,401 - Precinct 4-1,299,582,1,882
Precinct,501 - Precinct 5-1,262,590,0,852
Precinct,Provisional,23,34,0,57
Locality,Roanoke City,26676,15082,82,41840
Precinct,1 -Peters Creek,1430,439,2,1871
Precinct,2 - Grandview,1214,516,7,1737
Precinct,3 -Preston Park,963,935,3,1901
Precinct,4 - Williamson Road,1129,777,5,1911
Precinct,5 - East Gate,1054,1289,1,2344
Precinct,6 - Hollins Road,957,845,2,1804
Precinct,7 - Southeast,910,813,7,1730
Precinct,8 - Lincoln Terrace,1223,141,2,1366
Precinct,9 - Highland,1527,513,10,2050
Precinct,10 - Old Southwest-Wasena,1734,659,1,2394
Precinct,11 - Raleigh Court,1775,836,5,2616
Precinct,12 - South Roanoke,1171,978,1,2150
Precinct,13 - Garden City,933,1187,2,2122
Precinct,14 - Crystal Spring,1469,894,9,2372
Precinct,15 - Grandin Court,1373,839,2,2214
Precinct,16 - Deyerle,1321,1096,5,2422
Precinct,17 - Lee-Hi,1728,839,5,2572
Precinct,18 - Summit Hills,1197,711,3,1911
Precinct,19 - Forest Park,1377,258,4,1639
Precinct,20 - Eureka Park,1584,165,2,1751
Precinct,Provisional,607,352,4,963
Locality,Roanoke County,22978,33609,70,56657
Precinct,101 - Catawba,571,1491,2,2064
Precinct,102 - Richfield,633,1147,3,1783
Precinct,103 - North Glenvar,573,1228,3,1804
Precinct,104 - Northside,859,1027,6,1892
Precinct,105 - Hanging Rock,880,1109,5,1994
Precinct,106 - South Glenvar,288,711,0,999
Precinct,107 - Fort Lewis,507,737,0,1244
Precinct,201 - Plantation,719,1000,3,1722
Precinct,202 - Burlington,588,602,4,1194
Precinct,203 - Mountain View,1003,1544,1,2548
Precinct,204 - Green Ridge,826,1039,0,1865
Precinct,205 - Orchards,894,1532,5,2431
Precinct,206 - Hollins,416,534,1,951
Precinct,301 - Bent Mountain,232,369,2,603
Precinct,302 - Back Creek,983,1614,1,2598
Precinct,303 - Windsor Hills,854,905,0,1759
Precinct,304 - Oak Grove,884,1097,2,1983
Precinct,305 - East Hidden Valley,790,925,1,1716
Precinct,306 - Garst Mill,804,831,1,1636
Precinct,307 - West Hidden Valley,686,838,1,1525
Precinct,401 - Bonsack,400,773,2,1175
Precinct,403 - North Vinton,726,1142,0,1868
Precinct,404 - South Vinton,696,1099,3,1798
Precinct,405 - North Lindenwood,594,1186,1,1781
Precinct,405 - South Lindenwood,545,1044,2,1591
Precinct,406 - Mount Pleasant,645,1547,2,2194
Precinct,501 - Starkey,683,890,0,1573
Precinct,502 - West Cave Spring,700,844,1,1545
Precinct,503 - East Cave Spring,761,906,2,1669
Precinct,504 - Green Valley,1227,1117,7,2351
Precinct,505 - Clearbrook,390,808,1,1199
Precinct,506 - Buck Mountain,179,250,0,429
Precinct,507 - Hunting Hills,1055,1191,6,2252
Precinct,Provisional,387,532,2,921
Locality,Rockbridge County,4526,8199,13,12738
Precinct,101 - Airport,694,674,2,1370
Precinct,102 - Ben Salem,170,348,1,519
Precinct,103 - Plank Road,130,300,0,430
Precinct,104 - Effinger,160,330,0,490
Precinct,201 - Collierstown,182,352,2,536
Precinct,202 - Highland Belle,618,959,2,1579
Precinct,203 - Vo-tech,139,144,0,283
Precinct,301 - Maury River,338,605,0,943
Precinct,302 - Natural Bridge,213,571,0,784
Precinct,303 - Falling Spring,114,286,1,401
Precinct,401 - Fairfield,270,583,1,854
Precinct,402 - Mountain View,411,873,1,1285
Precinct,403 - Vesuvius,87,303,0,390
Precinct,501 - Goshen,87,347,0,434
Precinct,502 - Meadowview,364,479,1,844
Precinct,503 - Rockbridge Baths,181,318,0,499
Precinct,504 - Rockbridge,295,594,1,890
Precinct,ROCKBRIDGE COUNTY PROVISIONALS,73,133,1,207
Locality,Rockingham County,16180,32081,81,48342
Precinct,101 - Broadway,814,1462,6,2282
Precinct,102 - Timberville,373,943,3,1319
Precinct,103 - Fulks Run,182,1066,2,1250
Precinct,104 - Bergton,78,346,3,427
Precinct,105 - Lacey Spring,430,1460,4,1894
Precinct,106 - Lone Pine,451,1291,1,1743
Precinct,201 - Singers Glen,382,1023,1,1406
Precinct,202 - Edom,839,1494,5,2338
Precinct,203 - Dayton,354,598,0,952
Precinct,204 - Mt Clinton,475,1092,2,1569
Precinct,205 - Silver Lake,895,1375,8,2278
Precinct,301 - Keezletown,349,670,2,1021
Precinct,302 - Port Republic,377,830,2,1209
Precinct,303 - Melrose,261,624,1,886
Precinct,304 - Grottoes,561,1227,0,1788
Precinct,305 - Massanetta Springs,1458,1430,8,2896
Precinct,306 - Crossroads,1341,1503,1,2845
Precinct,401 - West Bridgewater,525,786,2,1313
Precinct,402 - Montezuma,389,1162,3,1554
Precinct,403 - Mt Crawford,94,149,0,243
Precinct,404 - North River,839,1222,5,2066
Precinct,405 - Ottobine,324,1386,3,1713
Precinct,406 - East Bridgewater,958,1049,2,2009
Precinct,501 - Elkton,577,1214,2,1793
Precinct,502 - Swift Run,437,1949,2,2388
Precinct,503 - Mcgaheysville,722,1543,2,2267
Precinct,504 - South Fork,220,904,4,1128
Precinct,505 - Stony Run,791,936,2,1729
Precinct,506 - Deep Run,270,725,0,995
Precinct,ROCKINGHAM COUNTY PROVISIONALS,414,622,5,1041
Locality,Russell County,3326,9885,18,13229
Precinct,101 - Moccasin,191,805,0,996
Precinct,102 - Copper Creek,193,553,0,746
