,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,808 - Stone Bridge,1856,1186,8,3050
Precinct,810 - Cedar Lane,1510,902,4,2416
Precinct,813 - Seldens Landing,1206,738,6,1950
Precinct,814 - Newton - Lee,1584,1276,2,2862
Precinct,815 - Belmont Ridge,1918,1179,10,3107
Precinct,817 - Sanders Corner,1339,916,4,2259
Precinct,818 - East Broad Run,1086,641,12,1739
Precinct,819 - West Broad Run,1010,791,7,1808
Precinct,820 - Belmont Station,1310,859,12,2181
Precinct,822 - Riverside,1173,807,6,1986
Precinct,823 - Harper Park,1186,800,11,1997
Precinct,824 - Goose Creek,535,383,1,919
Precinct,825 - Waxpool,1396,867,10,2273
Precinct,LOUDOUN COUNTY PROVISIONALS,2559,2126,42,4727
Locality,Louisa County,9124,14726,22,23872
Precinct,101 - Green Springs #1,1415,1491,4,2910
Precinct,102 - Green Springs #2,466,651,1,1118
Precinct,201 - Louisa #1,651,816,3,1470
Precinct,202 - Louisa #2,501,825,1,1327
Precinct,203 - Louisa #3,87,153,0,240
Precinct,301 - Patrick Henry #1,1048,788,0,1836
Precinct,302 - Patrick Henry #2,525,778,2,1305
Precinct,401 - Mineral,1124,2366,1,3491
Precinct,501 - Cuckoo #1,362,498,2,862
Precinct,502 - Cuckoo #2,316,628,1,945
Precinct,503 - Cuckoo #3,557,1192,1,1750
Precinct,601 - Jackson,799,2170,2,2971
Precinct,701 - Mountain Road #1,452,1093,1,1546
Precinct,702 - Mountain Road #2,667,1014,2,1683
Precinct,LOUISA COUNTY PROVISIONALS,154,263,1,418
Locality,Lunenburg County,2344,3324,4,5672
Precinct,101 - Plymouth,213,455,1,669
Precinct,201 - Browns Store,338,393,0,731
Precinct,301 - Rosebud,114,246,0,360
Precinct,302 - Flat Rock,176,299,0,475
Precinct,401 - Arrowhead Gun Club,80,192,0,272
Precinct,402 - Pleasant Grove,193,360,2,555
Precinct,501 - Reedy Creek,211,240,0,451
Precinct,502 - Peoples Community Center,301,182,0,483
Precinct,601 - Hounds Creek,367,428,1,796
Precinct,701 - Meherrin Fire Department,159,231,0,390
Precinct,702 - Victoria Public Library,155,252,0,407
Precinct,LUNENBURG COUNTY PROVISIONALS,37,46,0,83
Locality,Lynchburg City,17020,19478,75,36573
Precinct,101 - First Ward First Precinct,1500,1514,8,3022
Precinct,102 - First Ward Second Precinct,1419,1665,7,3091
Precinct,103 - First Ward Third Precinct,1069,1056,7,2132
Precinct,104 - First Ward Fourth Precinct,568,371,2,941
Precinct,105 - First Ward Fifth Precinct,794,541,2,1337
Precinct,201 - Second Ward First Precinct,1927,772,5,2704
Precinct,202 - Second Ward Second Precinct,1620,657,5,2282
Precinct,203 - Second Ward Third Precinct,441,188,1,630
Precinct,204 - Second Ward Fourth Precinct,362,331,0,693
Precinct,301 - Third Ward First Precinct,427,452,3,882
Precinct,302 - Third Ward Second Precinct,61,1442,3,1506
Precinct,303 - Third Ward Third Precinct,503,653,1,1157
Precinct,304 - Third Ward Fourth Precinct,500,777,4,1281
Precinct,305 - Third Ward Fifth Precinct,951,1820,2,2773
Precinct,401 - Fourth Ward First Precinct,1388,2359,9,3756
