,,Gerald Edward Connolly,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
Precinct,311 - Swans Creek,1586,117,1703,0
Precinct,312 - Triangle,1006,122,1128,0
Precinct,502 - Occoquan,775,113,888,0
Precinct,503 - Old Bridge,1012,145,1157,0
Precinct,504 - Rockledge,741,144,885,0
Precinct,506 - Bethel,1425,207,1632,0
Precinct,507 - Chinn,999,156,1155,0
Precinct,512 - York,1331,85,1416,0
Precinct,513 - Lynnwood,1043,245,1288,0
Precinct,514 - Antietam,1189,285,1474,0
Precinct,601 - Dale,1142,67,1209,0
Precinct,602 - Beville,1589,168,1757,0
Precinct,603 - Hampton,964,53,1017,0
Precinct,604 - Gideon,1073,65,1138,0
Precinct,605 - Minnieville,1078,113,1191,0
Precinct,606 - Bel Air,1141,90,1231,0
Precinct,607 - Kerrydale,1314,93,1407,0
Precinct,608 - Enterprise,1198,93,1291,0
Precinct,609 - King,1337,131,1468,0
Precinct,610 - Fitzgerald,1231,85,1316,0
Precinct,611 - Neabsco,899,51,950,0
Precinct,701 - Belmont,1138,209,1347,0
Precinct,702 - Library,1265,89,1354,0
Precinct,703 - Lynn,829,50,879,0
Precinct,704 - Porter,1234,57,1291,0
Precinct,705 - Potomac View,719,79,798,0
Precinct,706 - Rippon,1239,127,1366,0
Precinct,707 - Kilby,1037,75,1112,0
Precinct,708 - River Oaks,1288,82,1370,0
Precinct,709 - Freedom,1297,73,1370,0
Precinct,710 - Powells Creek,1106,60,1166,0
Precinct,711 - Grayson,1366,78,1444,0
Precinct,712 - Leesylvania,1024,131,1155,0
Precinct,Ab - Central Absentee Precinct,14610,1177,15787,0
Precinct,Provisional,32,3,35,0
