,,Timothy Michael Kaine,Corey Alan Stewart,Matthew Joseph Waters,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
Precinct,504 - Courthouse (CD 7),777,1002,30,6,1815,0
Precinct,505 - Brock (CD 7),643,1219,30,2,1894,0
Precinct,601 - Salem (CD 7),1066,946,39,2,2053,0
Precinct,602 - Smith Station (CD 7),1409,1120,51,1,2581,0
Precinct,603 - Piedmont (CD 7),666,595,26,2,1289,0
Precinct,701 - Battlefield (CD 1),809,670,26,0,1505,0
Precinct,702 - Brents Mill (CD 1),577,381,31,3,992,0
Precinct,702 - Brents Mill (CD 7),518,484,23,4,1029,0
Precinct,703 - Fairview (CD 7),449,278,10,1,738,0
Precinct,703 - Fairview (CD 1),148,111,6,1,266,0
Precinct,704 - Gayle (CD 7),921,804,25,1,1751,0
Precinct,704 - Gayle (CD 1),430,413,13,1,857,0
Precinct,Ab - Central Absentee Precinct (CD 1),822,642,15,3,1482,0
Precinct,Ab - Central Absentee Precinct (CD 7),2111,1919,60,4,4094,0
Precinct,Provisional (CD 1),3,1,0,0,4,0
Precinct,Provisional (CD 7),6,3,1,0,10,0
Locality,Stafford County,28536,26368,1088,57,56049,0
Precinct,101 - Hartwood,1048,1968,51,1,3068,0
Precinct,102 - Rocky Run,962,862,35,1,1860,0
Precinct,103 - Simpson,928,1001,38,1,1968,0
Precinct,104 - College,1080,1215,60,3,2358,0
Precinct,201 - Rock Hill,763,808,35,1,1607,0
Precinct,202 - Roseville,1141,991,50,4,2186,0
Precinct,203 - Ruby,501,988,38,1,1528,0
Precinct,204 - Stefaniga,988,1223,30,1,2242,0
Precinct,301 - Griffis,1005,402,18,1,1426,0
Precinct,302 - Widewater,1314,838,33,1,2186,0
Precinct,303 - Harbour,603,644,30,2,1279,0
Precinct,304 - Barrett,534,340,18,1,893,0
Precinct,401 - Aquia,569,200,19,0,788,0
Precinct,402 - Courthouse,1726,786,48,7,2567,0
Precinct,403 - Brooke,1017,1290,47,3,2357,0
Precinct,404 - Government Island,677,798,30,1,1506,0
Precinct,501 - Grafton,1114,1323,30,1,2468,0
Precinct,502 - Falmouth,855,806,39,1,1701,0
Precinct,503 - Drew,844,819,48,1,1712,0
Precinct,504 - Gayle,990,634,25,0,1649,0
Precinct,601 - Ferry Farm,733,943,45,2,1723,0
Precinct,602 - Chatham,1039,963,40,0,2042,0
Precinct,603 - White Oak,742,1340,52,1,2135,0
Precinct,604 - England Run,808,303,27,5,1143,0
Precinct,701 - Woodlands,1291,1092,40,4,2427,0
Precinct,702 - Whitson,1131,626,26,0,1783,0
Precinct,703 - Hampton,1516,1238,62,3,2819,0
Precinct,Ab - Central Absentee Precinct,2593,1911,74,10,4588,0
Precinct,Provisional,24,16,0,0,40,0
Locality,Staunton City,5417,3937,228,17,9599,0
Precinct,101 - Ward No 1,900,744,36,5,1685,0
Precinct,201 - Ward No 2,992,974,51,3,2020,0
Precinct,301 - Ward No 3,972,776,47,1,1796,0
Precinct,401 - Ward No 4,849,641,36,2,1528,0
Precinct,501 - Ward No 5,1186,506,46,3,1741,0
Precinct,Ab - Central Absentee Precinct,512,293,12,3,820,0
Precinct,Provisional,6,3,0,0,9,0
Locality,Suffolk City,21397,13397,461,37,35292,0
Precinct,101 - Belleharbour (CD 3),820,253,17,4,1094,0
Precinct,102 - Driver (CD 3),969,1368,47,1,2385,0
Precinct,104 - Bennetts Creek (CD 3),889,674,31,1,1595,0
Precinct,201 - Ebenezer (CD 3),443,776,16,3,1238,0
Precinct,202 - Chuckatuck (CD 3),490,677,17,0,1184,0
Precinct,203 - Kings Fork (CD 3),1147,490,26,5,1668,0
Precinct,204 - Hillpoint (CD 3),904,367,15,3,1289,0
Precinct,301 - White Marsh (CD 4),314,131,5,0,450,0
Precinct,302 - John F Kennedy (CD 4),766,25,1,0,792,0
Precinct,302 - John F Kennedy (CD 3),581,139,4,1,725,0
Precinct,304 - Nansemond River (CD 3),1021,477,27,1,1526,0
Precinct,305 - Shoulders Hill (CD 3),443,242,7,1,693,0
Precinct,401 - Airport (CD 4),375,404,14,0,793,0
Precinct,402 - Whaleyville (CD 4),273,686,8,1,968,0
Precinct,403 - Southside (CD 4),587,27,7,0,621,0
Precinct,404 - Booker T Washington (CD 4),759,50,2,0,811,0
Precinct,404 - Booker T Washington (CD 3),249,5,0,1,255,0
Precinct,405 - Pittmantown (CD 4),159,213,3,0,375,0
Precinct,501 - Kilbys Mill (CD 4),732,966,21,2,1721,0
Precinct,502 - Holland (CD 4),607,809,26,0,1442,0
Precinct,504 - Lake Cohoon (CD 4),520,838,17,1,1376,0
Precinct,504 - Lake Cohoon (CD 3),99,229,3,1,332,0
Precinct,601 - Lakeside (CD 4),882,500,26,1,1409,0
Precinct,602 - Olde Towne (CD 4),3,0,0,0,3,0
Precinct,602 - Olde Towne (CD 3),257,116,5,0,378,0
Precinct,603 - Elephants Fork/westhaven (CD 4),270,220,6,0,496,0
Precinct,604 - Wilroy (CD 3),533,472,21,1,1027,0
Precinct,605 - Hollywood (CD 3),580,24,5,0,609,0
Precinct,702 - Harbourview (CD 3),1059,744,16,2,1821,0
Precinct,704 - Burbage Grant (CD 3),1163,459,21,1,1644,0
Precinct,706 - Huntersville (CD 3),1436,192,22,2,1652,0
Precinct,AB - Central Absentee Precinct (CD 3),1340,575,18,3,1936,0
Precinct,Ab - Central Absentee Precinct (CD 4),715,242,7,1,965,0
Precinct,Provisional (CD 3),6,4,0,0,10,0
Precinct,Provisional (CD 4),6,3,0,0,9,0
Locality,Surry County,1997,1436,35,9,3477,0
Precinct,101 - Surry,332,400,10,3,745,0
Precinct,201 - Bacons Castle,456,243,8,1,708,0
Precinct,301 - Dendron,187,175,0,1,363,0
Precinct,302 - Walls Bridge,175,148,2,0,325,0
Precinct,401 - Carsley,414,238,7,1,660,0
Precinct,501 - Claremont,233,203,6,2,444,0
Precinct,502 - Spring Grove,196,29,2,1,228,0
Precinct,Provisional,4,0,0,0,4,0
Locality,Sussex County,2258,1598,32,0,3888,0
Precinct,101 - Waverly,455,121,2,0,578,0
Precinct,201 - Stony Creek,323,136,2,0,461,0
Precinct,202 - Little Mill,78,42,1,0,121,0
Precinct,301 - Courthouse,183,303,5,0,491,0
Precinct,302 - Wakefield,27,110,0,0,137,0
Precinct,401 - Mars Hill,335,194,6,0,535,0
Precinct,402 - West Wakefield,55,10,1,0,66,0
Precinct,501 - Henry,275,152,3,0,430,0
Precinct,502 - Yale,132,81,2,0,215,0
Precinct,601 - Blackwater,183,244,5,0,432,0
Precinct,602 - Newville,111,123,4,0,238,0
Precinct,AB - Central Absentee Precinct,98,80,1,0,179,0
Precinct,Provisional,3,2,0,0,5,0
Locality,Tazewell County,2809,10428,118,16,13371,0
Precinct,101 - Indian Valley,91,293,1,0,385,0
Precinct,102 - Tip Top,59,229,1,0,289,0
Precinct,103 - Mundy Town,109,490,3,2,604,0
Precinct,104 - Falls Mills,54,257,0,0,311,0
Precinct,106 - Pocahontas,65,107,2,1,175,0
Precinct,107 - Amonate,10,49,0,0,59,0
Precinct,109 - Bishop,17,90,0,0,107,0
Precinct,112 - Bandy,25,96,2,0,123,0
Precinct,203 - Burkes Garden,19,75,1,0,95,0
Precinct,204 - Clear Fork,57,303,4,1,365,0
Precinct,207 - Freestone,36,86,0,0,122,0
Precinct,209 - Jeffersonville,417,1335,11,2,1765,0
Precinct,214 - Thompson Valley,70,322,3,0,395,0
Precinct,301 - Cedar Bluff,236,1169,18,0,1423,0
Precinct,302 - Baptist Valley,62,199,5,0,266,0
Precinct,303 - Paint Lick,178,798,8,4,988,0
Precinct,401 - Richlands,517,1735,25,2,2279,0
Precinct,402 - Jewell Ridge,39,121,1,0,161,0
Precinct,501 - Springville,149,752,10,2,913,0
Precinct,502 - Graham,369,1283,13,1,1666,0
Precinct,Ab - Central Absentee Precinct,229,635,10,1,875,0
Precinct,Provisional,1,4,0,0,5,0
Locality,Virginia Beach City,91813,73575,3851,204,169443,0
Precinct,1 - North Beach,1010,1225,50,1,2286,0
Precinct,2 - South Beach,919,777,52,2,1750,0
Precinct,3 - Ocean Lakes,582,621,27,0,1230,0
Precinct,4 - Linkhorn,796,948,55,3,1802,0
Precinct,5 - Seatack,1000,571,39,1,1611,0
Precinct,6 - Alanton,900,999,49,2,1950,0
Precinct,7 - Kingston,570,645,20,3,1238,0
Precinct,8 - London Bridge,1024,833,51,2,1910,0
Precinct,9 - Trantwood,738,952,40,4,1734,0
Precinct,10 - Great Neck,742,1202,44,7,1995,0
Precinct,11 - Cape Henry,1153,934,58,4,2149,0
Precinct,12 - Plaza,988,611,45,2,1646,0
Precinct,13 - Mt Trashmore,1073,931,51,4,2059,0
Precinct,14 - Malibu,900,828,37,1,1766,0
Precinct,15 - Old Donation,625,504,33,1,1163,0
Precinct,16 - Aragona,1058,863,54,2,1977,0
Precinct,17 - Ocean Park,658,655,48,1,1362,0
Precinct,18 - Thoroughgood,1046,999,51,3,2099,0
Precinct,19 - Lake Smith,457,507,21,0,985,0
Precinct,20 - Bayside,734,657,22,2,1415,0
Precinct,21 - Davis Corner,1184,294,32,0,1510,0
Precinct,22 - Point O View,646,759,32,3,1440,0
Precinct,23 - Arrowhead,809,815,35,1,1660,0
Precinct,24 - Larkspur,639,539,15,2,1195,0
Precinct,25 - Avalon,1261,1010,57,2,2330,0
Precinct,26 - Fairfield,791,766,29,3,1589,0
Precinct,27 - Edwin,845,878,47,4,1774,0
Precinct,28 - Thalia,648,658,35,4,1345,0
Precinct,29 - Holland,1029,493,39,1,1562,0
Precinct,30 - Red Wing,700,894,36,2,1632,0
Precinct,31 - Sigma,795,1207,62,1,2065,0
Precinct,32 - Creeds,251,620,13,0,884,0
Precinct,33 - Capps Shop,277,689,10,0,976,0
Precinct,34 - Blackwater,147,412,10,0,569,0
Precinct,35 - Courthouse,731,1077,27,0,1835,0
Precinct,36 - Windsor Oaks,1237,698,38,1,1974,0
Precinct,37 - Chesapeake Beach,688,551,32,4,1275,0
Precinct,38 - Witchduck,960,1163,51,1,2175,0
Precinct,39 - Pembroke,1099,845,59,3,2006,0
Precinct,40 - Bonney,710,545,35,1,1291,0
Precinct,41 - College Park,1642,441,40,1,2124,0
Precinct,42 - Brandon,950,669,47,0,1666,0
Precinct,43 - Bellamy,986,428,44,2,1460,0
Precinct,44 - Centerville,1009,876,55,2,1942,0
Precinct,45 - Timberlake,1140,393,30,3,1566,0
Precinct,46 - Green Run,960,421,21,1,1403,0
Precinct,47 - Kings Grant,949,1182,57,2,2190,0
Precinct,48 - Wolfsnare,962,951,45,2,1960,0
Precinct,49 - Lynnhaven,834,963,37,2,1836,0
Precinct,50 - Oceana,708,286,30,3,1027,0
Precinct,51 - Stratford Chase,743,707,41,2,1493,0
Precinct,52 - Homestead,1091,953,47,6,2097,0
Precinct,53 - Shannon,711,656,45,1,1413,0
Precinct,54 - Cromwell,692,519,31,0,1242,0
Precinct,55 - Magic Hollow,1122,421,34,4,1581,0
Precinct,56 - Edinburgh,422,435,18,2,877,0
Precinct,57 - Sherry Park,496,543,25,4,1068,0
Precinct,58 - Glenwood,938,689,32,1,1660,0
Precinct,59 - Shelton Park,642,505,29,1,1177,0
Precinct,60 - Foxfire,794,1151,34,0,1979,0
Precinct,61 - Baker,1312,147,25,5,1489,0
Precinct,62 - Landstown,941,889,41,1,1872,0
Precinct,63 - Culver,963,1055,48,3,2069,0
Precinct,64 - Rosemont Forest,882,652,32,0,1566,0
Precinct,65 - Colonial,874,667,34,2,1577,0
Precinct,66 - Hunt,671,839,46,0,1556,0
Precinct,67 - Eastern Shore,479,278,33,0,790,0
Precinct,68 - Manor,792,787,36,2,1617,0
Precinct,69 - Shell,964,328,22,1,1315,0
Precinct,70 - Corporate Landing,842,742,52,0,1636,0
Precinct,71 - Round Hill,535,336,12,2,885,0
Precinct,72 - Rudee,799,903,35,5,1742,0
Precinct,73 - Dahlia,976,354,26,1,1357,0
Precinct,74 - Buckner,939,391,31,0,1361,0
Precinct,75 - Colony,823,1062,52,7,1944,0
Precinct,76 - Village,1017,327,24,0,1368,0
Precinct,77 - Brookwood,803,606,38,2,1449,0
Precinct,78 - Indian Lakes,847,552,41,4,1444,0
Precinct,79 - Pleasant Hall,1051,369,25,1,1446,0
Precinct,80 - Chimney Hill,885,383,31,3,1302,0
Precinct,81 - Rock Lake,1079,578,36,2,1695,0
Precinct,82 - Shelburne,629,690,32,4,1355,0
Precinct,83 - Strawbridge,777,900,51,1,1729,0
Precinct,84 - Tallwood,967,535,39,0,1541,0
Precinct,85 - Upton,952,1059,60,3,2074,0
Precinct,86 - Haygood,984,822,27,1,1834,0
Precinct,87 - Hillcrest,774,717,37,0,1528,0
Precinct,88 - North Landing,736,707,28,2,1473,0
Precinct,89 - Lake Christopher,844,764,29,2,1639,0
Precinct,90 - Lake Joyce,475,570,38,3,1086,0
Precinct,91 - Lexington,1068,495,38,1,1602,0
Precinct,92 - Little Neck,579,660,40,0,1279,0
Precinct,93 - Newtown,1290,187,18,2,1497,0
Precinct,94 - Pinewood,478,426,12,0,916,0
Precinct,95 - Dam Neck,519,452,30,1,1002,0
Precinct,96 - Hilltop,694,329,27,0,1050,0
Precinct,97 - Indian River,993,467,41,2,1503,0
Precinct,98 - Independence,656,284,19,2,961,0
Precinct,99 - Salem Woods,635,337,13,0,985,0
Precinct,100 - Sandbridge,302,481,19,1,803,0
Precinct,Ab - Central Absentee Precinct,8631,5999,243,21,14894,0
Precinct,Provisional,145,85,7,0,237,0
Locality,Warren County,5060,8875,304,23,14262,0
Precinct,101 - Fork Town,332,481,16,3,832,0
Precinct,102 - Otterburn,502,1158,30,1,1691,0
Precinct,201 - Happy Creek,575,964,45,2,1586,0
Precinct,202 - Linden,525,810,48,2,1385,0
Precinct,301 - North River,475,661,23,2,1161,0
Precinct,302 - Riverton,387,938,13,1,1339,0
Precinct,401 - East Shenandoah,566,1285,44,6,1901,0
Precinct,402 - Town - West Shenandoah,302,565,22,1,890,0
Precinct,501 - South River,619,872,30,2,1523,0
Precinct,502 - Bentonville,158,387,8,2,555,0
Precinct,504 - Browntown,161,291,10,0,462,0
Precinct,Ab - Central Absentee Precinct,453,461,15,1,930,0
Precinct,Provisional,5,2,0,0,7,0
Locality,Washington County,5825,14350,267,15,20457,0
Precinct,101 - East Abingdon,657,1101,32,4,1794,0
Precinct,102 - West Abingdon,385,518,16,1,920,0
Precinct,201 - Clinchburg,120,411,2,0,533,0
Precinct,202 - Greendale,186,719,10,0,915,0
Precinct,203 - Hayters Gap,63,264,4,0,331,0
Precinct,204 Woodland Hills,278,613,13,1,905,0
Precinct,301 - Watauga,410,1114,18,1,1543,0
Precinct,302 - South Abingdon,587,854,22,2,1465,0
Precinct,401 - Glade Spring,297,786,13,1,1097,0
Precinct,402 - Meadowview,378,935,17,0,1330,0
Precinct,501 - Rhea Valley,353,1233,22,0,1608,0
Precinct,502 - Damascus,296,476,8,0,780,0
Precinct,504 - Green Cove,32,100,0,0,132,0
Precinct,601 - Burson Place,223,1023,16,1,1263,0
Precinct,602 - Mendota,44,209,5,1,259,0
Precinct,603 - Valley Institute,201,776,10,0,987,0
Precinct,701 - High Point,226,900,14,0,1140,0
Precinct,702 - Wallace,117,417,6,1,541,0
Precinct,703 - John Battle,323,881,18,0,1222,0
Precinct,Ab - Central Absentee Precinct,647,1016,21,2,1686,0
Precinct,Provisional,2,4,0,0,6,0
Locality,Waynesboro City,3849,3713,149,7,7718,0
Precinct,1 - Ward A,564,473,22,2,1061,0
Precinct,2 - Ward B,1016,982,35,1,2034,0
Precinct,3 - Ward C,798,699,30,1,1528,0
Precinct,4 - Ward D,1192,1320,56,1,2569,0
Precinct,Ab - Central Absentee Precinct,279,237,6,2,524,0
Precinct,Provisional,0,2,0,0,2,0
Locality,Westmoreland County,3448,3421,78,2,6949,0
Precinct,101 - Precinct 1-1,573,229,6,0,808,0
Precinct,102 - Precinct 1-2,302,189,1,1,493,0
Precinct,201 - Precinct 2-1,520,402,8,1,931,0
Precinct,202 - Precinct 2-2,192,291,6,0,489,0
Precinct,301 - Precinct 3-1,279,286,5,0,570,0
Precinct,302 - Precinct 3-2,279,225,5,0,509,0
Precinct,401 - Precinct 4-1,395,787,17,0,1199,0
Precinct,501 - Precinct 5-1,569,698,24,0,1291,0
Precinct,Ab - Central Absentee Precinct,332,309,6,0,647,0
Precinct,Provisional,7,5,0,0,12,0
Locality,Williamsburg City,4530,1547,114,9,6200,0
Precinct,1 - Stryker,2100,738,56,4,2898,0
Precinct,2 - Matoaka,1954,610,58,5,2627,0
Precinct,Ab - Central Absentee Precinct,471,199,0,0,670,0
Precinct,Provisional,5,0,0,0,5,0
Locality,Winchester City,5242,3657,210,15,9124,0
Precinct,101 - Merrimans,1028,737,34,5,1804,0
Precinct,102 - Old Town,754,577,43,5,1379,0
Precinct,201 - Virginia Avenue,927,452,36,4,1419,0
Precinct,301 - War Memorial,868,590,35,0,1493,0
Precinct,401 - Frederick Douglass,436,329,11,0,776,0
Precinct,402 - Rolling Hills,681,679,31,0,1391,0
Precinct,AB - Central Absentee Precinct,541,293,20,1,855,0
Precinct,Provisional,7,0,0,0,7,0
Locality,Wise County,2860,7991,98,6,10955,0
Precinct,101 - Appalachia,220,385,6,2,613,0
Precinct,102 - Dorchester,107,317,3,0,427,0
Precinct,103 - Guest River Voting Place,98,325,2,0,425,0
Precinct,104 - West Pound,270,814,3,1,1088,0
Precinct,201 - North Coeburn,111,444,6,0,561,0
Precinct,202 - Wise,493,1097,19,0,1609,0
Precinct,203 - East Pound,55,225,4,0,284,0
Precinct,301 - Big Stone Gap,390,867,16,0,1273,0
Precinct,302 - East Stone Gap,290,1017,12,2,1321,0
Precinct,401 - Clinch Valley,244,852,9,1,1106,0
Precinct,402 - South Coeburn,199,896,9,0,1104,0
Precinct,403 - St Paul,133,251,7,0,391,0
Precinct,Ab - Central Absentee Precinct,248,501,2,0,751,0
Precinct,Provisional,2,0,0,0,2,0
Locality,Wythe County,2879,7669,153,12,10713,0
Precinct,101 - Royal Oak,65,323,6,1,395,0
Precinct,102 - Rural Retreat,323,1000,13,2,1338,0
Precinct,203 - West Wytheville,594,986,33,1,1614,0
Precinct,303 - East Wytheville,650,1095,30,0,1775,0
Precinct,401 - Fort Chiswell,169,695,12,0,876,0
Precinct,402 - Max Meadows,178,684,13,1,876,0
Precinct,501 - Jackson Memorial,132,488,9,0,629,0
Precinct,502 - Sheffey,187,755,11,1,954,0
Precinct,601 - Huddle,62,360,6,0,428,0
Precinct,602 - Zion,167,537,8,1,713,0
Precinct,603 Evergreen,124,410,5,2,541,0
Precinct,Ab - Central Absentee Precinct,226,334,7,3,570,0
Precinct,Provisional,2,2,0,0,4,0
Locality,York County,13634,14828,534,38,29034,0
Precinct,101 - Queens Lake,795,675,29,1,1500,0
Precinct,102 - Waller Mill,928,957,34,0,1919,0
Precinct,103 - Magruder,1492,720,37,1,2250,0
Precinct,201 - Coventry,1298,1221,54,2,2575,0
Precinct,202 - Kiln Creek,680,654,16,5,1355,0
Precinct,301 - Seaford,719,1684,40,3,2446,0
Precinct,302 - Yorktown,798,1028,32,1,1859,0
Precinct,303 - Edgehill,1023,828,44,0,1895,0
Precinct,401 - Harwoods Mill,869,1376,46,5,2296,0
Precinct,402 - Dare,836,1437,35,4,2312,0
Precinct,403 - Grafton,509,683,21,1,1214,0
Precinct,501 - Tabb,1052,1369,53,6,2480,0
Precinct,502 - Bethel,1256,1113,53,2,2424,0
Precinct,Ab - Central Absentee Precinct,1366,1071,38,7,2482,0
Precinct,Provisional,13,12,2,0,27,0
