,,"Gerald E. ""Gerry"" Connolly",Mike L. Van Meter,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,845 - Fountainhead,1634,1408,8,3050
Precinct,846 - Greenbriar East,1819,869,12,2700
Precinct,847 - Greenbriar West,1223,682,5,1910
Precinct,848 - Fair Oaks,1963,1038,15,3016
Precinct,849 - Newgate North,1405,894,10,2309
Precinct,850 - South Run,1516,965,9,2490
Precinct,851 - Willow Springs #1,619,366,7,992
Precinct,854 - Newgate South,1305,1011,7,2323
Precinct,855 - Saratoga,1779,996,22,2797
Precinct,856 - Penderbrook,1947,941,9,2897
Precinct,857 - Island Pond,106,51,0,157
Precinct,861 - Burke #2,1107,601,6,1714
Precinct,901 - Centre Ridge,1661,885,9,2555
Precinct,902 - Brookfield,1894,1162,22,3078
Precinct,903 - Cub Run,2300,1371,13,3684
Precinct,904 - Stonecroft,762,572,11,1345
Precinct,905 - Franklin,1546,763,12,2321
Precinct,908 - Hidden Meadow,1299,676,6,1981
Precinct,909 - Oak Hill,1208,589,4,1801
Precinct,910 - London Towne,1939,1024,12,2975
Precinct,911 - Navy,2089,1159,15,3263
Precinct,913 - Rocky Run,2467,1486,9,3962
Precinct,914 - Vale,1421,848,4,2273
Precinct,916 - Waples Mill,2317,1388,10,3715
Precinct,917 - Stone,1888,1018,8,2914
Precinct,918 - Centreville,2257,1197,12,3466
Precinct,919 - Green Trails,2146,1153,13,3312
Precinct,920 - Chantilly,1076,647,0,1723
Precinct,921 - Deer Park,1574,1093,11,2678
Precinct,924 - Spindle,1047,512,6,1565
Precinct,925 - Old Mill,899,536,10,1445
Precinct,926 - Powell,2088,1163,12,3263
Precinct,927 - Armfield,1557,777,14,2348
Precinct,928 - Poplar Tree,1498,893,11,2402
Precinct,929 - Difficult Run,254,191,1,446
Precinct,931 - Carson,1282,581,9,1872
Precinct,934 - Fox Valley,700,355,6,1061
Precinct,935 - Robinson Mill,336,190,3,529
Precinct,Provisional,5879,3420,71,9370
