,,Gerald Edward Connolly,Suzanne Kristine Scholte,Marc McCullough Harrold,Joseph Francis Galdo,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,Green,,,
Precinct,506 - Bethel,768,650,30,14,0,1462,0
Precinct,507 - Chinn,523,428,11,4,1,967,0
Precinct,512 - York,629,229,12,3,0,873,0
Precinct,513 - Lynnwood,511,705,13,4,0,1233,0
Precinct,514 - Antietam,652,567,30,10,1,1260,0
Precinct,601 - Dale,483,190,9,8,0,690,0
Precinct,602 - Beville,809,403,15,4,1,1232,0
Precinct,603 - Godwin,435,166,10,8,0,619,0
Precinct,604 - Gideon,484,245,6,6,0,741,0
Precinct,605 - Minnieville,478,360,9,9,2,858,0
Precinct,606 - Bel Air,446,339,20,9,2,816,0
Precinct,607 - Kerrydale,602,307,22,12,0,943,0
Precinct,608 - Enterprise,559,319,20,7,0,905,0
Precinct,609 - King,740,377,13,4,0,1134,0
Precinct,610 - Fitzgerald,608,304,7,6,0,925,0
Precinct,611 - Neabsco,366,194,6,0,0,566,0
Precinct,701 - Belmont,505,458,9,7,1,980,0
Precinct,702 - Library,520,257,14,12,0,803,0
Precinct,703 - Lynn,270,108,7,11,0,396,0
Precinct,704 - Porter,506,152,13,3,3,677,0
Precinct,705 - Potomac View,243,250,16,2,0,511,0
Precinct,706 - Rippon,536,383,7,12,1,939,0
Precinct,707 - Kilby,358,235,9,5,0,607,0
Precinct,708 - River Oaks,568,157,8,5,0,738,0
Precinct,709 - Freedom,592,156,8,3,2,761,0
Precinct,710 - Powells Creek,526,132,10,3,2,673,0
Precinct,711 - Grayson,519,257,17,7,0,800,0
Precinct,712 - Leesylvania,561,417,14,9,0,1001,0
Precinct,Ab - Central Absentee Precinct,1134,768,30,12,4,1948,0
Precinct,Provisional,9,8,0,1,0,18,0
