,,John Chapman Petersen,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
State Senate District,34,27690,1881,29571,0
Locality,Fairfax City,3636,228,3864,0
Precinct,1 - One,447,23,470,0
Precinct,2 - Two,552,37,589,0
Precinct,3 - Three,701,58,759,0
Precinct,4 - Four,711,47,758,0
Precinct,5 - Five,533,32,565,0
Precinct,6 - Six,471,21,492,0
Precinct,Ab - Central Absentee Precinct,218,10,228,0
Precinct,Provisional,3,0,3,0
Locality,Fairfax County,24054,1653,25707,0
Precinct,109 - Little Run,397,20,417,0
Precinct,113 - Canterbury,1085,64,1149,0
Precinct,114 - Olde Creek,506,32,538,0
Precinct,116 - Wakefield,621,35,656,0
Precinct,117 - Woodson,676,62,738,0
Precinct,119 - Laurel,919,70,989,0
Precinct,120 - Sideburn,854,74,928,0
Precinct,121 - Villa,460,37,497,0
Precinct,123 - Robinson,919,67,986,0
Precinct,126 - Bonnie Brae,524,41,565,0
Precinct,134 - University,413,19,432,0
Precinct,204 - Madison,142,3,145,0
Precinct,213 - Vienna #1,827,41,868,0
Precinct,214 - Vienna #2,643,0,643,0
Precinct,216 - Vienna #4,298,13,311,0
Precinct,218 - Vienna #6,439,15,454,0
Precinct,522 - Camelot,382,37,419,0
Precinct,528 - Ridgelea,357,13,370,0
Precinct,701 - Blake,687,48,735,0
Precinct,707 - Mantua,565,26,591,0
Precinct,709 - Mosby,596,28,624,0
Precinct,711 - Price,456,33,489,0
Precinct,714 - Walker,560,35,595,0
Precinct,718 - Pine Ridge,397,31,428,0
Precinct,719 - Stenwood,0,0,0,0
Precinct,720 - Thoreau,715,77,792,0
Precinct,727 - Oakton,549,39,588,0
Precinct,729 - Nottoway,647,49,696,0
Precinct,730 - Penderbrook,499,39,538,0
Precinct,732 - Oak Marr,600,52,652,0
Precinct,733 - Kilmer,659,33,692,0
Precinct,734 - Hunters Branch,327,25,352,0
Precinct,841 - Popes Head,345,43,388,0
Precinct,844 - Centerpointe,298,20,318,0
Precinct,846 - Greenbriar East,438,45,483,0
Precinct,847 - Greenbriar West,435,39,474,0
Precinct,903 - Cub Run,707,38,745,0
Precinct,913 - Rocky Run,782,95,877,0
Precinct,917 - Stone North,349,32,381,0
Precinct,921 - Deer Park,664,39,703,0
Precinct,928 - Poplar Tree,540,30,570,0
Precinct,932 - Stone South,251,14,265,0
Precinct,Ab - Central Absentee Precinct,1519,100,1619,0
Precinct,Provisional,7,0,7,0
