,,Jay C. Jones,Jason S. Miyares,Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,8 - Lincoln Terrace,864,116,6,986,986
Precinct,9 - Highland,1137,336,8,1481,1481
Precinct,10 - Old Southwest-Wasena,1407,505,15,1927,1927
Precinct,11 - Raleigh Court,1416,676,23,2115,2115
Precinct,12 - South Roanoke,823,923,9,1755,1755
Precinct,13 - Garden City,622,797,7,1426,1426
Precinct,14 - Crystal Spring,970,759,15,1744,1744
Precinct,15 - Grandin Court,1101,727,15,1843,1843
Precinct,16 - Deyerle,1022,993,19,2034,2034
Precinct,17 - Lee-Hi,1351,689,21,2061,2061
Precinct,18 - Summit Hills,842,538,11,1391,1391
Precinct,19 - Forest Park,973,158,2,1133,1133
Precinct,20 - Eureka Park,1183,113,4,1300,1300
Locality,Roanoke County,15822,26480,176,42478,42478
Precinct,101 - Catawba,410,1201,4,1615,1615
Precinct,102 - Richfield,417,934,5,1356,1356
Precinct,103 - North Glenvar,389,1016,5,1410,1410
Precinct,104 - Northside,582,811,6,1399,1399
Precinct,105 - Hanging Rock,603,877,4,1484,1484
Precinct,106 - South Glenvar,190,586,5,781,781
Precinct,107 - Fort Lewis,342,607,5,954,954
Precinct,201 - Plantation,478,747,5,1230,1230
Precinct,202 - Burlington,419,439,4,862,862
Precinct,203 - Mountain View,717,1239,11,1967,1967
Precinct,204 - Green Ridge,552,863,7,1422,1422
Precinct,205 - Orchards,663,1267,6,1936,1936
Precinct,206 - Hollins,303,400,3,706,706
Precinct,301 - Bent Mountain,147,308,5,460,460
Precinct,302 - Back Creek,751,1357,7,2115,2115
Precinct,303 - Windsor Hills,616,669,7,1292,1292
Precinct,304 - Oak Grove,638,956,4,1598,1598
Precinct,305 - East Hidden Valley,585,806,3,1394,1394
Precinct,306 - Garst Mill,600,676,2,1278,1278
Precinct,307 - West Hidden Valley,482,732,7,1221,1221
Precinct,401 - Bonsack,259,664,4,927,927
Precinct,403 - North Vinton,484,825,6,1315,1315
Precinct,404 - South Vinton,455,753,5,1213,1213
Precinct,405 - North Lindenwood,410,966,3,1379,1379
Precinct,405 - South Lindenwood,362,809,3,1174,1174
Precinct,406 - Mount Pleasant,453,1216,3,1672,1672
Precinct,501 - Starkey,493,722,2,1217,1217
Precinct,502 - West Cave Spring,506,729,13,1248,1248
Precinct,503 - East Cave Spring,542,734,7,1283,1283
Precinct,504 - Green Valley,870,778,14,1662,1662
Precinct,505 - Clearbrook,257,630,2,889,889
Precinct,506 - Buck Mountain,137,208,1,346,346
Precinct,507 - Hunting Hills,710,955,8,1673,1673
Locality,Rockbridge County,3126,6883,34,10043,10043
Precinct,101 - Airport,546,606,3,1155,1155
Precinct,102 - Ben Salem,117,303,1,421,421
Precinct,103 - Plank Road,83,275,1,359,359
Precinct,104 - Effinger,119,282,2,403,403
Precinct,201 - Collierstown,114,310,1,425,425
Precinct,202 - Highland Belle,442,851,8,1301,1301
Precinct,203 - Vo-tech,109,109,1,219,219
Precinct,301 - Maury River,207,508,1,716,716
Precinct,302 - Natural Bridge,144,461,2,607,607
Precinct,303 - Falling Spring,73,233,2,308,308
Precinct,401 - Fairfield,181,496,2,679,679
Precinct,402 - Mountain View,260,711,3,974,974
Precinct,403 - Vesuvius,59,250,0,309,309
Precinct,501 - Goshen,52,279,0,331,331
Precinct,502 - Meadowview,271,407,2,680,680
Precinct,503 - Rockbridge Baths,126,279,1,406,406
Precinct,504 - Rockbridge,223,523,4,750,750
Locality,Rockingham County,9994,25672,131,35797,35797
Precinct,101 - Broadway,520,1207,4,1731,1731
Precinct,102 - Timberville,229,643,3,875,875
Precinct,103 - Fulks Run,97,816,0,913,913
Precinct,104 - Bergton,23,282,0,305,305
Precinct,105 - Lacey Spring,261,1158,7,1426,1426
Precinct,106 - Lone Pine,250,1084,6,1340,1340
Precinct,201 - Singers Glen,244,890,2,1136,1136
Precinct,202 - Edom,578,1197,8,1783,1783
Precinct,203 - Dayton,226,523,7,756,756
Precinct,204 - Mt Clinton,284,943,4,1231,1231
Precinct,205 - Silver Lake,644,1104,11,1759,1759
Precinct,301 - Keezletown,232,578,0,810,810
Precinct,302 - Port Republic,224,760,7,991,991
Precinct,303 - Melrose,153,535,1,689,689
Precinct,304 - Grottoes,332,977,6,1315,1315
Precinct,305 - Massanetta Springs,999,1190,5,2194,2194
Precinct,306 - Crossroads,908,1317,7,2232,2232
Precinct,401 - West Bridgewater,344,663,7,1014,1014
Precinct,402 - Montezuma,228,960,4,1192,1192
Precinct,403 - Mt Crawford,66,121,3,190,190
Precinct,404 - North River,593,993,2,1588,1588
Precinct,405 - Ottobine,180,1062,4,1246,1246
Precinct,406 - East Bridgewater,604,881,13,1498,1498
Precinct,501 - Elkton,355,940,3,1298,1298
Precinct,502 - Swift Run,221,1535,3,1759,1759
Precinct,503 - Mcgaheysville,460,1292,7,1759,1759
Precinct,504 - South Fork,107,714,0,821,821
Precinct,505 - Stony Run,473,750,6,1229,1229
Precinct,506 - Deep Run,159,557,1,717,717
Locality,Russell County,1418,7451,26,8895,8895
Precinct,101 - Moccasin,97,651,0,748,748
Precinct,102 - Copper Creek,84,425,5,514,514
Precinct,103 - South Castlewood,77,291,0,368,368
Precinct,201 - North Castlewood,170,906,4,1080,1080
Precinct,202 - Dante,34,159,0,193,193
Precinct,301 - Cooks Mill,30,166,0,196,196
Precinct,302 - Daugherty,36,226,0,262,262
Precinct,303 - New Garden,74,507,1,582,582
Precinct,304 - Cleveland,77,268,3,348,348
Precinct,401 - Drill,18,40,0,58,58
Precinct,402 - Swords Creek,89,761,3,853,853
Precinct,403 - Honaker,65,306,1,372,372
Precinct,501 - West Lebanon,313,1211,7,1531,1531
Precinct,601 - East Lebanon,121,652,2,775,775
Precinct,602 - Elk Garden,133,882,0,1015,1015
Locality,Salem City,3663,5664,41,9368,9368
Precinct,001 - North Salem No 2,546,679,7,1232,1232
Precinct,002 - Conehurst,218,325,2,545,545
Precinct,003 - Beverly Heights,200,444,4,648,648
Precinct,004 - West Salem,362,600,5,967,967
Precinct,005 - North Salem No 1,592,711,8,1311,1311
Precinct,006 - South Salem No 1,283,441,1,725,725
Precinct,007 - South Salem No 2,281,508,3,792,792
Precinct,008 - East Salem,147,205,0,352,352
Precinct,009 - South Side Hills,448,880,6,1334,1334
Precinct,010 - Hidden Valley,586,871,5,1462,1462
Locality,Scott County,1026,6276,15,7317,7317
Precinct,101 - Weber City,76,376,2,454,454
Precinct,102 - Yuma,112,587,3,702,702
Precinct,202 - Weber City East,68,412,0,480,480
Precinct,203 - Hiltons,105,597,1,703,703
Precinct,204 - Clark's,20,168,0,188,188
Precinct,301 - Nickelsville,55,396,2,453,453
Precinct,302 - Snowflake,51,323,0,374,374
Precinct,303 - Twin Springs,58,322,0,380,380
Precinct,304 - Copper Creek,8,113,0,121,121
Precinct,401 - Gate City,210,1072,1,1283,1283
Precinct,501 - Dungannon,46,181,1,228,228
Precinct,502 - Fort Blackmore,28,250,0,278,278
Precinct,503 - Manville,21,180,0,201,201
Precinct,504 - Rye Cove,30,390,1,421,421
Precinct,601 - Clinchport,35,240,2,277,277
Precinct,602 - Duffield-pattonsville,78,540,2,620,620
Precinct,603 - Fairview,25,129,0,154,154
Locality,Shenandoah County,4937,13020,63,18020,18020
Precinct,101 - Orkney Springs,336,664,5,1005,1005
Precinct,103 - New Market,513,1514,9,2036,2036
Precinct,201 - Conicville,357,1423,3,1783,1783
Precinct,202 - Mt Jackson,313,889,3,1205,1205
Precinct,302 - Edinburg,291,846,5,1142,1142
Precinct,303 - St Luke,335,1295,4,1634,1634
Precinct,304 - Fort Valley,199,570,1,770,770
Precinct,401 - Woodstock North,480,973,8,1461,1461
Precinct,402 - Woodstock South,366,708,2,1076,1076
Precinct,501 - Cedar Creek,36,98,0,134,134
Precinct,503 - Toms Brook,478,1366,2,1846,1846
Precinct,504 - Lebanon Church,303,1053,3,1359,1359
Precinct,601 - Strasburg West,441,764,9,1214,1214
Precinct,602 - Strasburg East,489,857,9,1355,1355
Locality,Smyth County,1843,8070,28,9941,9941
Precinct,101 - Saltville,226,994,1,1221,1221
Precinct,201 - 7 MILE FORD,121,887,1,1009,1009
Precinct,202 - Rich Valley,76,311,0,387,387
Precinct,301 - Chilhowie,218,1272,6,1496,1496
Precinct,401 - East Park,344,963,8,1315,1315
Precinct,501 - Atkins,140,729,1,870,870
Precinct,502 - Wassona,195,478,4,677,677
Precinct,601 - Royal Oak East,188,637,1,826,826
Precinct,602 - Royal Oak West,77,440,1,518,518
Precinct,701 - Adwolfe,111,844,1,956,956
Precinct,702 - Sugar Grove,134,445,4,583,583
Precinct,703 - Konnarock,13,70,0,83,83
Locality,Southampton County,2698,4698,9,7405,7405
Precinct,101 - Berlin,103,522,1,626,626
Precinct,102 - Ivor,259,513,1,773,773
Precinct,201 - Boykins-Branchville,388,356,0,744,744
Precinct,301 - Capron-Drewryville,303,529,0,832,832
Precinct,302 - Sebrell,199,387,0,586,586
Precinct,501 - Darden Mill,208,440,1,649,649
Precinct,502 - Fairgrounds,209,544,1,754,754
Precinct,601 - Courtland,352,473,3,828,828
Precinct,602 - Sedley,31,173,0,204,204
Precinct,701 - Blackwater River,343,373,2,718,718
Precinct,702 - Newsoms,303,388,0,691,691
Locality,Spotsylvania County,28020,31187,165,59372,59372
Precinct,101 - Partlow Ruritan,420,1385,5,1810,1810
Precinct,102 - Berkeley,503,1377,5,1885,1885
Precinct,103 - John J Wright,1508,1688,9,3205,3205
Precinct,104 - Massaponax High,1273,1003,5,2281,2281
Precinct,201 - Wilderness Elementary,661,795,3,1459,1459
Precinct,202 - Fire Rescue 7,1034,1626,7,2667,2667
Precinct,203 - Ni River Middle,1040,1410,6,2456,2456
Precinct,204 - Chancellor Elementary,1104,1066,7,2177,2177
Precinct,301 - Salem Elementary,709,713,2,1424,1424
Precinct,302 - Salem Library,1341,1082,10,2433,2433
Precinct,303 - Riverbend High,1363,1588,10,2961,2961
Precinct,304 - Knights Of Pythias,856,845,7,1708,1708
Precinct,401 - Cosner Park,1076,832,7,1915,1915
Precinct,402 - Germanna Campus,1272,926,3,2201,2201
Precinct,403 - Lee Hill Elementary,1242,1054,9,2305,2305
Precinct,404 - New Post Church,764,572,6,1342,1342
Precinct,501 - Belmont Ruritan,475,1118,1,1594,1594
Precinct,502 - Fire Rescue 2,378,1093,1,1472,1472
Precinct,503 - Spotsylvania High,368,1130,5,1503,1503
Precinct,504 - Public Safety,861,1266,4,2131,2131
Precinct,505 - Brock Road Elementary,1213,1898,6,3117,3117
Precinct,601 - Battlefield Elementary,980,850,11,1841,1841
Precinct,602 - Smith Station Elementary,1311,942,2,2255,2255
Precinct,603 - Chancellor High,702,645,5,1352,1352
Precinct,604 - Courthouse Road Elementary,859,732,4,1595,1595
Precinct,701 - Spotswood Elementary,945,733,9,1687,1687
Precinct,702 - Eastland Church,1004,746,4,1754,1754
Precinct,703 - Lees Parke,1393,695,5,2093,2093
Precinct,704 - Courtland Elementary,1365,1377,7,2749,2749
Locality,Stafford County,32279,30186,201,62666,62666
Precinct,101 - Hartwood,1013,1941,5,2959,2959
Precinct,102 - Simpson,884,1247,3,2134,2134
Precinct,103 - College,1006,756,2,1764,1764
Precinct,104 - Westlake,476,915,1,1392,1392
Precinct,105 - Rocky Run,566,454,3,1023,1023
Precinct,106 - Forge,558,428,5,991,991
Precinct,201 - Rock Hill,1311,1164,8,2483,2483
Precinct,202 - Roseville,800,1294,8,2102,2102
Precinct,203 - Ruby,557,1148,7,1712,1712
Precinct,204 - Stefaniga,1024,1113,6,2143,2143
Precinct,205 - Mount Ararat,466,374,2,842,842
Precinct,301 - Staffordboro,608,245,2,855,855
Precinct,302 - Widewater,659,718,7,1384,1384
Precinct,303 - Barrett Heights,515,339,5,859,859
Precinct,304 - Aquia Episcopal,407,128,1,536,536
Precinct,305 - Griffis,338,165,0,503,503
Precinct,306 - Midway,890,319,5,1214,1214
Precinct,401 - Courthouse,1291,474,7,1772,1772
Precinct,402 - Brooke,618,815,2,1435,1435
Precinct,403 - Harbour,622,676,6,1304,1304
Precinct,404 - Government Island,771,882,4,1657,1657
Precinct,405 - Hope,1279,1209,8,2496,2496
Precinct,406 - Aquia,206,51,0,257,257
Precinct,501 - Grafton,1364,1524,6,2894,2894
Precinct,502 - Falmouth,1042,938,5,1985,1985
Precinct,503 - Drew,1280,1101,7,2388,2388
Precinct,504 - Gayle,1085,719,4,1808,1808
Precinct,505 - Eskimo Hill,376,292,2,670,670
Precinct,601 - Ferry Farm,810,1091,9,1910,1910
Precinct,602 - Chatham,1030,1087,12,2129,2129
Precinct,603 - White Oak,729,1584,10,2323,2323
Precinct,604 - England Run,464,236,4,704,704
Precinct,605 - Melchers,1596,1077,10,2683,2683
Precinct,701 - Park Ridge,1280,900,9,2189,2189
Precinct,702 - Whitson,977,461,3,1441,1441
Precinct,703 - Hampton,1347,1109,11,2467,2467
Precinct,704 - Poole,2034,1212,12,3258,3258
Locality,Staunton City,6043,4586,40,10669,10669
Precinct,101 - Ward No 1,1260,927,9,2196,2196
Precinct,201 - Ward No 2,1093,1203,10,2306,2306
Precinct,301 - Ward No 3,1144,993,4,2141,2141
Precinct,401 - Ward No 4,1075,807,7,1889,1889
Precinct,501 - Ward No 5,1471,656,10,2137,2137
Locality,Suffolk City,24265,17131,83,41479,41479
Precinct,101 - Belleharbour,620,268,1,889,889
Precinct,102 - Driver,1213,1770,9,2992,2992
Precinct,104 - Bennetts Creek,632,476,1,1109,1109
Precinct,105 - Harbourview,1579,1024,10,2613,2613
Precinct,201 - Ebenezer,521,940,4,1465,1465
Precinct,202 - Chuckatuck,599,833,2,1434,1434
Precinct,203 - Kings Fork,1466,568,3,2037,2037
Precinct,204 - Hillpoint,1403,589,5,1997,1997
Precinct,301 - White Marsh,285,135,1,421,421
Precinct,302 - John F Kennedy,1309,166,4,1479,1479
Precinct,304 - Nansemond River,1213,655,5,1873,1873
Precinct,305 - Shoulders Hill,558,333,2,893,893
Precinct,306 - Deerfield,807,507,5,1319,1319
Precinct,316 - Potomac Shores,1657,494,9,2160,2160
Precinct,401 - Airport,524,634,4,1162,1162
Precinct,402 - Whaleyville,410,1053,2,1465,1465
Precinct,403 - Southside,621,74,1,696,696
Precinct,404 - Booker T Washington,993,65,1,1059,1059
Precinct,405 - Hollywood,569,44,2,615,615
Precinct,501 - Kilbys Mill,809,1117,1,1927,1927
Precinct,502 - Holland,377,799,3,1179,1179
Precinct,504 - Lake Cohoon,1156,1729,5,2890,2890
Precinct,505 - Pittmantown,371,613,0,984,984
Precinct,601 - Lakeside,884,633,1,1518,1518
Precinct,602 - Olde Towne,284,140,0,424,424
Precinct,603 - Elephants Fork/westhaven,344,243,0,587,587
Precinct,604 - Wilroy,958,623,3,1584,1584
Precinct,605 - Mack Benn Jr,287,86,0,373,373
Precinct,703 - Pughsville,956,206,1,1163,1163
Precinct,704 - Burbage Grant,1280,536,2,1818,1818
Precinct,706 - Huntersville,1237,272,5,1514,1514
Locality,Surry County,1789,1778,7,3574,3574
Precinct,101 - Surry,295,478,2,775,775
Precinct,201 - Bacons Castle,407,279,3,689,689
Precinct,301 - Dendron,347,366,0,713,713
Precinct,401 - Carsley,362,372,1,735,735
Precinct,501 - Claremont,213,247,1,461,461
Precinct,502 - Spring Grove,165,36,0,201,201
Locality,Sussex County,1965,1854,7,3826,3826
Precinct,101 - Waverly,396,93,0,489,489
Precinct,201 - Stony Creek,330,233,2,565,565
Precinct,301 - Courthouse,80,140,0,220,220
Precinct,302 - NEWVILLE 1,49,119,0,168,168
Precinct,401 - Wakefield Firehouse,302,336,0,638,638
Precinct,501 - Henry,285,253,1,539,539
Precinct,601 - Blackwater,207,247,2,456,456
Precinct,602 - Wakefield,70,94,0,164,164
Precinct,701 - Yale,149,232,0,381,381
Precinct,702 - NEWVILLE 2,97,107,2,206,206
Locality,Tazewell County,2044,10533,23,12600,12600
Precinct,101 - Indian Valley,42,330,0,372,372
Precinct,102 - Tip Top,49,262,2,313,313
Precinct,103 - Mundy Town,97,552,0,649,649
Precinct,104 - Falls Mills,44,258,0,302,302
Precinct,106 - Pocahontas,26,130,1,157,157
Precinct,109 - Bishop,18,141,0,159,159
Precinct,112 - Bandy,18,182,0,200,200
Precinct,203 - Burkes Garden,11,83,0,94,94
Precinct,204 - Clear Fork,57,380,0,437,437
Precinct,207 - Freestone,16,97,0,113,113
Precinct,209 - Jeffersonville,452,1368,5,1825,1825
Precinct,214 - Thompson Valley,65,363,2,430,430
Precinct,301 - Cedar Bluff,144,1260,4,1408,1408
Precinct,302 - Baptist Valley,44,182,2,228,228
Precinct,303 - Paint Lick,157,978,0,1135,1135
Precinct,401 - Richlands,344,1786,5,2135,2135
Precinct,402 - Jewell Ridge,19,137,0,156,156
Precinct,501 - Springville,128,795,1,924,924
Precinct,502 - Graham,313,1249,1,1563,1563
Locality,Virginia Beach City,85191,82620,387,168198,168198
Precinct,001 - Precinct 1,934,1654,11,2599,2599
Precinct,002 - Precinct 2,1022,988,5,2015,2015
Precinct,003 - Precinct 3,610,651,1,1262,1262
Precinct,004 - Precinct 4,821,1204,1,2026,2026
Precinct,005 - Precinct 5,872,611,4,1487,1487
Precinct,006 - Precinct 6,880,1324,4,2208,2208
Precinct,007 - Precinct 7,581,753,2,1336,1336
Precinct,008 - Precinct 8,858,836,1,1695,1695
Precinct,009 - Precinct 9,756,1245,3,2004,2004
Precinct,010 - Precinct 10,784,1615,2,2401,2401
Precinct,011 - Precinct 11,1182,1352,10,2544,2544
Precinct,012 - Precinct 12,998,776,2,1776,1776
Precinct,013 - Precinct 13,1017,1060,5,2082,2082
Precinct,014 - Precinct 14,937,934,10,1881,1881
Precinct,015 - Precinct 15,657,593,4,1254,1254
Precinct,016 - Precinct 16,836,782,1,1619,1619
Precinct,017 - Precinct 17,698,845,1,1544,1544
Precinct,018 - Precinct 18,1039,1215,2,2256,2256
Precinct,019 - Precinct 19,482,635,3,1120,1120
Precinct,020 - Precinct 20,505,592,2,1099,1099
Precinct,021 - Precinct 21,1243,423,3,1669,1669
Precinct,022 - Precinct 22,626,745,1,1372,1372
Precinct,023 - Precinct 23,836,880,1,1717,1717
Precinct,024 - Precinct 24,360,507,4,871,871
Precinct,025 - Precinct 25,981,1092,5,2078,2078
Precinct,026 - Precinct 26,565,702,6,1273,1273
Precinct,027 - Precinct 27,470,559,0,1029,1029
Precinct,028 - Precinct 28,598,753,2,1353,1353
Precinct,029 - Precinct 29,957,589,2,1548,1548
Precinct,030 - Precinct 30,740,1103,10,1853,1853
Precinct,031 - Precinct 31,896,1647,8,2551,2551
Precinct,032 - Precinct 32,222,743,1,966,966
Precinct,033 - Precinct 33,225,842,5,1072,1072
Precinct,034 - Precinct 34,161,480,0,641,641
Precinct,035 - Precinct 35,887,1391,3,2281,2281
Precinct,036 - Precinct 36,1324,796,6,2126,2126
Precinct,037 - Precinct 37,693,701,9,1403,1403
Precinct,038 - Precinct 38,874,1100,5,1979,1979
Precinct,039 - Precinct 39,694,603,3,1300,1300
Precinct,040 - Precinct 40,831,563,4,1398,1398
Precinct,041 - Precinct 41,680,249,0,929,929
Precinct,042 - Precinct 42,954,767,4,1725,1725
Precinct,043 - Precinct 43,987,539,6,1532,1532
Precinct,044 - Precinct 44,925,1014,5,1944,1944
Precinct,045 - Precinct 45,1007,482,2,1491,1491
Precinct,046 - Precinct 46,989,562,8,1559,1559
Precinct,047 - Precinct 47,921,1451,7,2379,2379
Precinct,048 - Precinct 48,550,634,2,1186,1186
Precinct,049 - Precinct 49,724,960,3,1687,1687
Precinct,050 - Precinct 50,672,356,1,1029,1029
Precinct,051 - Precinct 51,770,824,1,1595,1595
Precinct,52 - Precinct 52,1170,1175,8,2353,2353
Precinct,053 - Precinct 53,920,956,5,1881,1881
Precinct,054 - Precinct 54,674,605,1,1280,1280
Precinct,055 - Precinct 55,1091,531,2,1624,1624
Precinct,056 - Precinct 56,460,506,2,968,968
Precinct,057 - Precinct 57,592,629,2,1223,1223
Precinct,058 - Precinct 58,703,593,4,1300,1300
Precinct,059 - Precinct 59,652,604,2,1258,1258
Precinct,060 - Precinct 60,874,1518,4,2396,2396
Precinct,061 - Precinct 61,1194,202,2,1398,1398
Precinct,062 - Precinct 62,994,1046,7,2047,2047
Precinct,063 - Precinct 63,1165,1296,8,2469,2469
Precinct,064 - Precinct 64,1204,977,3,2184,2184
Precinct,065 - Precinct 65,1077,873,3,1953,1953
Precinct,066 - Precinct 66,698,986,2,1686,1686
Precinct,067 - Precinct 67,483,323,1,807,807
Precinct,068 - Precinct 68,808,947,4,1759,1759
Precinct,069 - Precinct 69,1128,396,1,1525,1525
Precinct,070 - Precinct 70,903,899,7,1809,1809
Precinct,071 - Precinct 71,885,660,7,1552,1552
Precinct,072 - Precinct 72,725,1193,8,1926,1926
Precinct,073 - Precinct 73,975,421,3,1399,1399
Precinct,074 - Precinct 74,865,473,2,1340,1340
Precinct,075 - Precinct 75,832,1466,7,2305,2305
Precinct,076 - Precinct 76,989,366,4,1359,1359
Precinct,077 - Precinct 77,836,670,8,1514,1514
Precinct,078 - Precinct 78,883,673,3,1559,1559
Precinct,079 - Precinct 79,1084,462,3,1549,1549
Precinct,080 - Precinct 80,925,397,2,1324,1324
Precinct,081 - Precinct 81,1073,703,6,1782,1782
Precinct,082 - Precinct 82,720,850,3,1573,1573
Precinct,083 - Precinct 83,841,1146,2,1989,1989
Precinct,084 - Precinct 84,1038,612,3,1653,1653
Precinct,085 - Precinct 85,947,1311,2,2260,2260
Precinct,086 - Precinct 86,1043,1034,6,2083,2083
Precinct,087 - Precinct 87,828,879,7,1714,1714
Precinct,088 - Precinct 88,750,912,2,1664,1664
Precinct,089 - Precinct 89,858,920,5,1783,1783
Precinct,090 - Precinct 90,539,688,0,1227,1227
Precinct,091 - Precinct 91,1377,918,4,2299,2299
Precinct,092 - Precinct 92,546,813,2,1361,1361
Precinct,093 - Precinct 93,1211,272,2,1485,1485
Precinct,094 - Precinct 94,569,620,2,1191,1191
Precinct,095 - Precinct 95,568,654,3,1225,1225
Precinct,096 - Precinct 96,615,427,4,1046,1046
Precinct,097 - Precinct 97,1005,546,3,1554,1554
Precinct,098 - Precinct 98,679,323,2,1004,1004
Precinct,099 - Precinct 99,593,312,0,905,905
Precinct,100 - Precinct 100,339,671,3,1013,1013
Precinct,101 - Precinct 101,214,221,1,436,436
Precinct,102 - Precinct 102,175,112,1,288,288
Precinct,103 - Precinct 103,450,201,3,654,654
Precinct,104 - Precinct 104,1078,301,4,1383,1383
Precinct,105 - Precinct 105,242,391,2,635,635
Precinct,106 - Precinct 106,654,356,3,1013,1013
Precinct,107 - Precinct 107,371,521,2,894,894
Precinct,108 - Precinct 108,248,341,4,593,593
Locality,Warren County,5145,10888,55,16088,16088
Precinct,101 - Fork Town,371,623,2,996,996
Precinct,102 - Otterburn,571,1589,4,2164,2164
Precinct,201 - Happy Creek,598,1205,6,1809,1809
Precinct,202 - Linden,691,1192,9,1892,1892
Precinct,301 - North River,488,725,7,1220,1220
Precinct,302 - Riverton,493,1324,1,1818,1818
Precinct,401 - East Shenandoah,620,1478,9,2107,2107
Precinct,402 - West Shenandoah,322,702,9,1033,1033
Precinct,501 - South River,641,1143,3,1787,1787
Precinct,502 - Bentonville,175,510,1,686,686
Precinct,504 - Browntown,175,397,4,576,576
Locality,Washington County,4515,16326,68,20909,20909
Precinct,101 - East Abingdon,546,1125,10,1681,1681
Precinct,102 - West Abingdon,384,651,4,1039,1039
Precinct,201 - Clinchburg,105,512,3,620,620
Precinct,202 - Greendale,167,930,3,1100,1100
Precinct,203 - Hayters Gap,59,316,0,375,375
Precinct,204 Woodland Hills,209,798,7,1014,1014
Precinct,301 - Watauga,389,1425,5,1819,1819
Precinct,302 - South Abingdon,567,1147,8,1722,1722
Precinct,401 - Glade Spring,239,950,3,1192,1192
Precinct,402 - Meadowview,307,1161,7,1475,1475
Precinct,501 - Rhea Valley,302,1643,3,1948,1948
Precinct,502 - Damascus,223,620,5,848,848
Precinct,504 - Green Cove,24,132,0,156,156
Precinct,601 - Burson Place,216,1317,3,1536,1536
Precinct,602 - Mendota,35,257,3,295,295
Precinct,603 - Valley Institute,187,870,1,1058,1058
Precinct,701 - High Point,199,1063,2,1264,1264
Precinct,702 - Wallace,88,377,0,465,465
Precinct,703 - John Battle,269,1032,1,1302,1302
Locality,Waynesboro City,4111,4280,23,8414,8414
Precinct,001 - Ward A,653,621,0,1274,1274
Precinct,002 - Ward B,1316,1265,11,2592,2592
Precinct,003 - Ward C,985,1020,4,2009,2009
Precinct,004 - Ward D,1157,1374,8,2539,2539
Locality,Westmoreland County,3205,4200,11,7416,7416
Precinct,101 - Precinct 1-1,533,356,0,889,889
Precinct,102 - Precinct 1-2,304,274,0,578,578
Precinct,201 - Precinct 2-1,548,645,2,1195,1195
Precinct,301 - Precinct 3-1,340,428,1,769,769
Precinct,302 - Precinct 3-2,311,501,1,813,813
Precinct,401 - Precinct 4-1,479,1102,3,1584,1584
Precinct,501 - Precinct 5-1,690,894,4,1588,1588
Locality,Williamsburg City,4668,1931,29,6628,6628
Precinct,001 - Stryker,2005,853,13,2871,2871
Precinct,002 - Matoaka,2663,1078,16,3757,3757
Locality,Winchester City,4831,3803,34,8668,8668
Precinct,101 - Merrimans,1198,956,8,2162,2162
Precinct,102 - Old Town,803,660,5,1468,1468
Precinct,201 - Virginia Avenue,886,465,3,1354,1354
Precinct,301 - War Memorial,776,616,5,1397,1397
Precinct,401 - Frederick Douglass,397,357,3,757,757
Precinct,402 - Rolling Hills,771,749,10,1530,1530
Locality,Wise County,1956,8993,23,10972,10972
Precinct,101 - Appalachia,116,444,3,563,563
Precinct,102 - Dorchester,64,335,1,400,400
Precinct,103 - Guest River Voting Place,79,350,0,429,429
Precinct,104 - West Pound,180,949,2,1131,1131
Precinct,201 - North Coeburn,82,507,1,590,590
Precinct,202 - Wise,371,1412,4,1787,1787
Precinct,203 - East Pound,53,286,0,339,339
Precinct,301 - Big Stone Gap,333,1002,4,1339,1339
Precinct,302 - East Stone Gap,214,1167,2,1383,1383
Precinct,401 - Clinch Valley,206,1120,2,1328,1328
Precinct,402 - South Coeburn,155,1058,1,1214,1214
Precinct,403 - St Paul,103,363,3,469,469
Locality,Wythe County,2229,8747,23,10999,10999
Precinct,101 - Royal Oak,56,389,0,445,445
Precinct,102 - Rural Retreat,244,1222,2,1468,1468
Precinct,203 - West Wytheville,532,1211,5,1748,1748
Precinct,303 - East Wytheville,596,1270,5,1871,1871
Precinct,401 - Fort Chiswell,142,826,4,972,972
Precinct,402 - Max Meadows,141,779,1,921,921
Precinct,501 - Jackson Memorial,102,615,1,718,718
Precinct,502 - Sheffey,139,875,1,1015,1015
Precinct,601 - Huddle,60,420,1,481,481
Precinct,602 - Zion,113,656,1,770,770
Precinct,603 Evergreen,104,484,2,590,590
Locality,York County,14294,16906,83,31283,31283
Precinct,101 - Queens Lake,978,807,3,1788,1788
Precinct,102 - Waller Mill,1581,1474,7,3062,3062
Precinct,103 - Magruder,1813,1055,6,2874,2874
Precinct,201 - Coventry,1373,1343,8,2724,2724
Precinct,202 - Kiln Creek,985,1030,4,2019,2019
Precinct,301 - Seaford,743,2060,5,2808,2808
Precinct,302 - Yorktown,657,846,2,1505,1505
Precinct,303 - Edgehill,1070,941,5,2016,2016
Precinct,401 - Harwoods Mill,936,1686,8,2630,2630
Precinct,402 - Dare,943,1696,9,2648,2648
Precinct,403 - Grafton,766,1029,7,1802,1802
Precinct,501 - Tabb,1204,1613,10,2827,2827
Precinct,502 - Bethel,1245,1326,9,2580,2580
