,,Jay C. Jones,Jason S. Miyares,Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Locality,Rappahannock County,1606,2368,26,4000,4000
Precinct,101 - Washington,359,434,7,800,800
Precinct,201 - Amissville,253,614,1,868,868
Precinct,301 - Sperryville,380,399,5,784,784
Precinct,401 - Scrabble,324,442,10,776,776
Precinct,501 - Chester Gap,79,248,0,327,327
Precinct,502 - Flint Hill,211,231,3,445,445
Locality,Richmond City,73702,15390,560,89652,89652
Precinct,101 - One Hundred One,362,235,3,600,600
Precinct,102 - One Hundred Two,488,446,8,942,942
Precinct,104 - One Hundred Four,692,777,11,1480,1480
Precinct,105 - One Hundred Five,844,451,13,1308,1308
Precinct,106 - One Hundred Six,568,969,12,1549,1549
Precinct,111 - One Hundred Eleven,863,453,11,1327,1327
Precinct,112 - One Hundred Twelve,809,327,11,1147,1147
Precinct,113 - One Hundred Thirteen,1767,290,20,2077,2077
Precinct,114 - One Hundred Fourteen,1770,341,24,2135,2135
Precinct,115 - One Hundred Fifteen,545,528,12,1085,1085
Precinct,204 - Two Hundred Four,1120,248,8,1376,1376
Precinct,206 - Two Hundred Six,752,100,4,856,856
Precinct,207 - Two Hundred Seven,1534,287,27,1848,1848
Precinct,208 - Two Hundred Eight,1662,323,16,2001,2001
Precinct,213 - Two Hundred Thirteen,1564,86,12,1662,1662
Precinct,214 - Two Hundred Fourteen,1228,86,4,1318,1318
Precinct,215 - Two Hundred Fifteen,1529,359,13,1901,1901
Precinct,216 - Two Hundred Sixteen,375,22,0,397,397
Precinct,301 - Three Hundred One,627,52,3,682,682
Precinct,302 - Three Hundred Two,717,143,14,874,874
Precinct,303 - Three Hundred Three,754,73,7,834,834
Precinct,304 - Three Hundred Four,1215,95,7,1317,1317
Precinct,305 - Three Hundred Five,1213,141,10,1364,1364
Precinct,306 - Three Hundred Six,576,38,5,619,619
Precinct,307 - Three Hundred Seven,1937,535,29,2501,2501
Precinct,308 - Three Hundred Eight,1047,278,17,1342,1342
Precinct,309 - Three Hundred Nine,477,159,3,639,639
Precinct,310 - Three Hundred Ten,187,18,0,205,205
Precinct,311 - Three Hundred Eleven,451,58,3,512,512
Precinct,402 - Four Hundred Two,2051,578,16,2645,2645
Precinct,404 - Four Hundred Four,1175,253,4,1432,1432
Precinct,409 - Four Hundred Nine,977,559,7,1543,1543
Precinct,410 - Four Hundred Ten,1021,349,3,1373,1373
Precinct,412 - Four Hundred Twelve,1298,268,7,1573,1573
Precinct,413 - Four Hundred Thirteen,1027,398,8,1433,1433
Precinct,414 - Four Hundred Fourteen,1103,515,11,1629,1629
Precinct,415 - Four Hundred Fifteen,954,455,9,1418,1418
Precinct,501 - Five Hundred One,1621,252,17,1890,1890
Precinct,503 - Five Hundred Three,1569,211,15,1795,1795
Precinct,504 - Five Hundred Four,1754,190,10,1954,1954
Precinct,505 - Five Hundred Five,1324,114,9,1447,1447
Precinct,508 - Five Hundred Eight,809,123,8,940,940
Precinct,509 - Five Hundred Nine,864,96,2,962,962
Precinct,510 - Five Hundred Ten,1349,161,13,1523,1523
Precinct,602 - Six Hundred Two,561,29,2,592,592
Precinct,603 - Six Hundred Three,699,61,1,761,761
Precinct,604 - Six Hundred Four,795,70,2,867,867
Precinct,606 - Six Hundred Six,1253,85,8,1346,1346
Precinct,607 - Six Hundred Seven,1053,195,7,1255,1255
Precinct,609 - Six Hundred Nine,1209,144,4,1357,1357
Precinct,610 - Six Hundred Ten,600,49,1,650,650
Precinct,611 - Six Hundred Eleven,1046,94,6,1146,1146
Precinct,701 - Seven Hundred One,537,36,2,575,575
Precinct,702 - Seven Hundred Two,1013,77,4,1094,1094
Precinct,703 - Seven Hundred Three,1311,132,5,1448,1448
Precinct,705 - Seven Hundred Five,1213,147,10,1370,1370
Precinct,706 - Seven Hundred Six,1685,168,5,1858,1858
Precinct,707 - Seven Hundred Seven,2175,272,19,2466,2466
Precinct,708 - Seven Hundred Eight,889,89,5,983,983
Precinct,709 - Seven Hundred Nine,750,112,4,866,866
Precinct,802 - Eight Hundred Two,865,60,2,927,927
Precinct,806 - Eight Hundred Six,899,103,1,1003,1003
Precinct,810 - Eight Hundred Ten,667,96,2,765,765
