,,Mark Lee Keam,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
State House District,35,17198,1344,18542,0
Locality,Fairfax County,17198,1344,18542,0
Precinct,204 - Madison,240,17,257,0
Precinct,213 - Vienna #1,1304,107,1411,0
Precinct,214 - Vienna #2,1014,64,1078,0
Precinct,216 - Vienna #4,496,36,532,0
Precinct,218 - Vienna #6,724,46,770,0
Precinct,701 - Blake,1246,101,1347,0
Precinct,704 - Freedom Hill,690,50,740,0
Precinct,720 - Thoreau,1034,106,1140,0
Precinct,726 - Magarity,979,61,1040,0
Precinct,727 - Oakton,742,65,807,0
Precinct,729 - Nottoway,1072,81,1153,0
Precinct,730 - Penderbrook,944,90,1034,0
Precinct,731 - Tysons,640,60,700,0
Precinct,732 - Oak Marr,1003,122,1125,0
Precinct,733 - Kilmer,1223,83,1306,0
Precinct,734 - Hunters Branch,620,47,667,0
Precinct,735 - Rotonda,354,18,372,0
Precinct,802 - Cedar Lake,344,31,375,0
Precinct,844 - Centerpointe,689,34,723,0
Precinct,Provisional,16,0,16,0
