,,Gerald Edward Connolly,Manga Alamelu Anantatmula,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Precinct,506 - Bethel,415,330,0,745,0
Precinct,507 - Chinn,284,271,0,555,0
Precinct,512 - York,469,197,0,666,0
Precinct,513 - Lynnwood,316,334,0,650,0
Precinct,514 - Antietam,414,357,0,771,0
Precinct,601 - Dale,457,188,0,645,0
Precinct,602 - Beville,491,236,0,727,0
Precinct,603 - Hampton,373,135,0,508,0
Precinct,604 - Gideon,368,196,0,564,0
Precinct,605 - Minnieville,357,234,6,597,0
Precinct,606 - Bel Air,418,256,0,674,0
Precinct,607 - Kerrydale,499,258,0,757,0
Precinct,608 - Enterprise,390,234,0,624,0
Precinct,609 - King,388,277,0,665,0
Precinct,610 - Fitzgerald,487,220,0,707,0
Precinct,611 - Neabsco,343,190,0,533,0
Precinct,701 - Belmont,398,358,0,756,0
Precinct,702 - Library,392,177,0,569,0
Precinct,703 - Lynn,342,119,0,461,0
Precinct,704 - Porter,476,170,0,646,0
Precinct,705 - Potomac View,384,206,0,590,0
Precinct,706 - Rippon,466,272,0,738,0
Precinct,707 - Kilby,487,239,0,726,0
Precinct,708 - River Oaks,414,147,0,561,0
Precinct,709 - Freedom,399,137,0,536,0
Precinct,710 - Powells Creek,412,126,0,538,0
Precinct,711 - Grayson,585,237,0,822,0
Precinct,712 - Leesylvania,240,220,0,460,0
Precinct,Ab - Central Absentee Precinct,50496,13286,192,63974,0
Precinct,Provisional,485,131,3,619,0
