,,Gerald Edward Connolly,"Jeffery Anthony Dove, Jr",Stevan Michael Porter,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
Precinct,926 - Powell,1780,681,51,2,2514,0
Precinct,933 - Compton,281,135,6,0,422,0
Precinct,Ab - Central Absentee Precinct,26565,8493,461,55,35574,0
Precinct,Provisional,193,50,9,1,253,0
Locality,Prince William County,47404,14689,941,99,63133,0
Precinct,201 - Saunders,972,346,21,0,1339,0
Precinct,210 - Penn,89,47,5,0,141,0
Precinct,215 - Rosa Parks,933,406,27,0,1366,0
Precinct,301 - Dumfries,899,262,20,1,1182,0
Precinct,302 - Potomac,1903,304,27,7,2241,0
Precinct,303 - Graham Park,686,206,10,1,903,0
Precinct,311 - Swans Creek,1728,493,31,1,2253,0
Precinct,312 - Triangle,927,340,24,1,1292,0
Precinct,502 - Occoquan,729,323,27,1,1080,0
Precinct,503 - Old Bridge,923,320,23,2,1268,0
Precinct,504 - Rockledge,740,389,25,3,1157,0
Precinct,506 - Bethel,1292,616,30,5,1943,0
Precinct,507 - Chinn,968,447,21,3,1439,0
Precinct,512 - York,1291,253,26,1,1571,0
Precinct,513 - Lynnwood,949,615,22,1,1587,0
Precinct,514 - Antietam,1184,544,34,3,1765,0
Precinct,601 - Dale,1037,216,18,6,1277,0
Precinct,602 - Beville,1535,435,30,8,2008,0
Precinct,603 - Hampton,907,186,11,1,1105,0
Precinct,604 - Gideon,1001,266,14,3,1284,0
Precinct,605 - Minnieville,927,378,26,2,1333,0
Precinct,606 - Bel Air,959,350,13,1,1323,0
Precinct,607 - Kerrydale,1232,358,19,3,1612,0
Precinct,608 - Enterprise,1039,325,20,1,1385,0
Precinct,609 - King,1307,442,33,3,1785,0
Precinct,610 - Fitzgerald,1255,343,17,6,1621,0
Precinct,611 - Neabsco,857,251,17,2,1127,0
Precinct,701 - Belmont,1003,513,21,2,1539,0
Precinct,702 - Library,1243,300,23,1,1567,0
Precinct,703 - Lynn,725,120,16,1,862,0
Precinct,704 - Porter,1168,168,27,7,1370,0
Precinct,705 - Potomac View,662,297,18,1,978,0
Precinct,706 - Rippon,1161,412,22,2,1597,0
Precinct,707 - Kilby,926,267,20,3,1216,0
Precinct,708 - River Oaks,1360,237,19,1,1617,0
Precinct,709 - Freedom,1389,216,21,6,1632,0
Precinct,710 - Powells Creek,1154,189,17,1,1361,0
Precinct,711 - Grayson,1236,269,21,0,1526,0
Precinct,712 - Leesylvania,1075,477,21,2,1575,0
Precinct,Ab - Central Absentee Precinct,5992,1757,104,5,7858,0
Precinct,Provisional,41,6,0,1,48,0
