,,Ghazala F. Hashmi,"John J. Reid, II",Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,511 - Evergreen,1372,895,5,2272,2272
Precinct,512 - River Creek,790,783,4,1577,1577
Precinct,513 - Red Rock,695,432,4,1131,1131
Precinct,615 - Hillside,1621,880,2,2503,2503
Precinct,616 - Eagle Ridge,1435,702,5,2142,2142
Precinct,620 - Russell Branch,997,521,2,1520,1520
Precinct,621 - Dominion Trail,1417,717,7,2141,2141
Precinct,622 - Farmwell Station,1362,697,4,2063,2063
Precinct,623 - Weller,1647,849,2,2498,2498
Precinct,625 - Mill Run,1104,673,6,1783,1783
Precinct,626 - Ashby Ponds,1174,535,2,1711,1711
Precinct,627 - Ashbrook,747,341,2,1090,1090
Precinct,628 - Moorefield Station,972,356,4,1332,1332
Precinct,629 - Discovery,525,222,0,747,747
Precinct,630 - Croson,1166,578,4,1748,1748
Precinct,631 - Marblehead,767,316,1,1084,1084
Precinct,701 - Sully,900,456,1,1357,1357
Precinct,702 - Park View,1270,585,5,1860,1860
Precinct,703 - Rolling Ridge,1054,367,2,1423,1423
Precinct,705 - Forest Grove,1036,524,1,1561,1561
Precinct,707 - Claude Moore Park,432,171,0,603,603
Precinct,710 - Sterling,678,344,0,1022,1022
Precinct,711 - Guilford,691,237,1,929,929
Precinct,712 - Stone Hill,941,312,2,1255,1255
Precinct,713 - Carter,371,118,0,489,489
Precinct,714 - Rock Ridge,1144,496,7,1647,1647
Precinct,715 - Oak Grove,496,178,1,675,675
Precinct,716 - Ridgetop,607,194,0,801,801
Precinct,808 - Stone Bridge,1493,819,2,2314,2314
Precinct,810 - Cedar Lane,1229,594,4,1827,1827
Precinct,813 - Seldens Landing,952,463,4,1419,1419
Precinct,814 - Newton - Lee,1254,980,5,2239,2239
Precinct,815 - Belmont Ridge,1519,908,7,2434,2434
Precinct,817 - Sanders Corner,1101,653,5,1759,1759
Precinct,818 - East Broad Run,919,401,5,1325,1325
Precinct,819 - West Broad Run,829,548,1,1378,1378
Precinct,820 - Belmont Station,981,563,4,1548,1548
Precinct,822 - Riverside,900,566,7,1473,1473
Precinct,823 - Harper Park,959,572,5,1536,1536
Precinct,824 - Goose Creek,407,218,0,625,625
Precinct,825 - Waxpool,1102,547,4,1653,1653
Locality,Louisa County,7244,11577,42,18863,18863
Precinct,101 - Green Springs #1,1178,1278,4,2460,2460
Precinct,102 - Green Springs #2,376,481,6,863,863
Precinct,201 - Louisa #1,525,648,6,1179,1179
Precinct,202 - Louisa #2,391,631,1,1023,1023
Precinct,203 - Louisa #3,78,116,0,194,194
Precinct,301 - Patrick Henry #1,849,631,4,1484,1484
Precinct,302 - Patrick Henry #2,396,597,1,994,994
Precinct,401 - Mineral,919,1887,4,2810,2810
Precinct,501 - Cuckoo #1,298,384,3,685,685
Precinct,502 - Cuckoo #2,249,541,1,791,791
Precinct,503 - Cuckoo #3,477,1054,2,1533,1533
Precinct,601 - Jackson,615,1621,5,2241,2241
Precinct,701 - Mountain Road #1,366,866,2,1234,1234
Precinct,702 - Mountain Road #2,527,842,3,1372,1372
Locality,Lunenburg County,1702,2726,16,4444,4444
Precinct,101 - Plymouth,156,356,3,515,515
Precinct,201 - Browns Store,254,343,1,598,598
Precinct,301 - Rosebud,71,213,1,285,285
Precinct,302 - Flat Rock,121,255,0,376,376
Precinct,401 - Arrowhead Gun Club,45,180,3,228,228
Precinct,402 - Pleasant Grove,145,292,1,438,438
Precinct,501 - Reedy Creek,158,179,2,339,339
Precinct,502 - Peoples Community Center,222,158,0,380,380
Precinct,601 - Hounds Creek,285,352,2,639,639
Precinct,701 - Meherrin Fire Department,122,184,1,307,307
Precinct,702 - Victoria Public Library,123,214,2,339,339
Locality,Lynchburg City,12738,13699,124,26561,26561
Precinct,101 - First Ward First Precinct,1145,1171,7,2323,2323
Precinct,102 - First Ward Second Precinct,1152,1381,12,2545,2545
Precinct,103 - First Ward Third Precinct,900,924,1,1825,1825
Precinct,104 - First Ward Fourth Precinct,475,264,2,741,741
Precinct,105 - First Ward Fifth Precinct,701,447,4,1152,1152
Precinct,201 - Second Ward First Precinct,1421,535,9,1965,1965
Precinct,202 - Second Ward Second Precinct,1202,416,8,1626,1626
Precinct,203 - Second Ward Third Precinct,325,149,3,477,477
Precinct,204 - Second Ward Fourth Precinct,237,222,1,460,460
Precinct,301 - Third Ward First Precinct,323,313,9,645,645
Precinct,302 - Third Ward Second Precinct,44,1442,8,1494,1494
Precinct,303 - Third Ward Third Precinct,377,456,8,841,841
Precinct,304 - Third Ward Fourth Precinct,376,571,2,949,949
Precinct,305 - Third Ward Fifth Precinct,671,1271,18,1960,1960
Precinct,401 - Fourth Ward First Precinct,1036,1710,11,2757,2757
Precinct,402 - Fourth Ward Second Precinct,466,518,4,988,988
Precinct,403 - Fourth Ward Third Precinct,841,875,7,1723,1723
Precinct,404 - Fourth Ward Fourth Precinct,1046,1034,10,2090,2090
Locality,Madison County,2211,4365,17,6593,6593
Precinct,001 - Oak Park,309,457,0,766,766
Precinct,002 - Radiant,398,702,3,1103,1103
Precinct,003 - Rochelle,168,421,3,592,592
Precinct,004 - Graves Mill/Wolftown,251,468,1,720,720
Precinct,005 - Madison,435,774,3,1212,1212
Precinct,006 - ETLAN,120,266,2,388,388
Precinct,007 - Brightwood,345,906,4,1255,1255
Precinct,008 - Criglersville,185,371,1,557,557
Locality,Manassas City,7406,4245,24,11675,11675
Precinct,001 - Dean,1325,529,4,1858,1858
Precinct,002 - Weems,1289,690,2,1981,1981
Precinct,003 - Metz,1313,851,2,2166,2166
Precinct,004 - Haydon,1228,722,5,1955,1955
Precinct,005 - Baldwin,1167,681,6,1854,1854
Precinct,006 - Round,1084,772,5,1861,1861
Locality,Manassas Park City,2756,1213,8,3977,3977
Precinct,001 - Precinct 1,1131,400,2,1533,1533
Precinct,002 - Precinct 2,683,355,2,1040,1040
Precinct,003 - Precinct 3,942,458,4,1404,1404
Locality,Martinsville City,2404,1523,7,3934,3934
Precinct,001 - Precinct #1,345,31,1,377,377
Precinct,002 - Precinct #2,491,372,2,865,865
Precinct,003 - Precinct #3,322,129,0,451,451
Precinct,004 - Precinct #4,522,241,2,765,765
Precinct,005 - Precinct #5,538,737,2,1277,1277
Precinct,006 - Precinct #6,186,13,0,199,199
Locality,Mathews County,1442,3321,6,4769,4769
Precinct,001 - Chesapeake,313,740,1,1054,1054
Precinct,002 - Westville,535,1180,0,1715,1715
Precinct,003 - Piankatank,594,1401,5,2000,2000
Locality,Mecklenburg County,4462,7287,22,11771,11771
Precinct,101 - Palmer Springs,233,195,1,429,429
Precinct,102 - Antioch Church,41,150,0,191,191
Precinct,103 - Clarksville South,322,309,1,632,632
Precinct,201 - Chase City,439,370,1,810,810
Precinct,202 - Bluestone,84,103,4,191,191
Precinct,301 - Bracey,202,675,0,877,877
Precinct,302 - Lacrosse,213,277,0,490,490
Precinct,401 - South Hill West,629,469,3,1101,1101
Precinct,501 - South Hill East,453,699,0,1152,1152
Precinct,601 - Baskerville,97,231,1,329,329
Precinct,602 - Union Level,50,181,3,234,234
Precinct,603 - Smith Crossroads,129,232,0,361,361
Precinct,604 - Lake Gaston,173,377,0,550,550
