,,Ghazala F. Hashmi,"John J. Reid, II",Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,106 - Reservoir,951,208,6,1165,1165
Precinct,107 - Richneck,1790,739,11,2540,2540
Precinct,108 - Katherine Johnson,478,173,0,651,651
Precinct,109 - Windsor,721,317,5,1043,1043
Precinct,110 - Greenwood,1381,485,5,1871,1871
Precinct,111 - Stoneybrook,1388,571,8,1967,1967
Precinct,112 - Knollwood Meadows,1373,976,13,2362,2362
Precinct,113 - Sanford,434,427,12,873,873
Precinct,201 - Bland,263,86,1,350,350
Precinct,202 - Boulevard,693,628,6,1327,1327
Precinct,203 - Charles,1337,1076,8,2421,2421
Precinct,204 - Mariners' Museum,757,373,3,1133,1133
Precinct,205 - Deep Creek,916,1038,1,1955,1955
Precinct,208 - Hidenwood,573,648,0,1221,1221
Precinct,211 - Palmer,1154,475,4,1633,1633
Precinct,212 - Riverside,501,528,2,1031,1031
Precinct,216 - Yates,1022,686,8,1716,1716
Precinct,217 - Riverview,813,778,9,1600,1600
Precinct,218 - Kiln Creek,1861,954,14,2829,2829
Precinct,219 - Deer Park,1539,496,5,2040,2040
Precinct,220 -Jenkins,1162,605,7,1774,1774
Precinct,302 - Briarfield,781,193,0,974,974
Precinct,303 - Carver,527,152,0,679,679
Precinct,304 - Chestnut,415,42,1,458,458
Precinct,305 - Downtown,239,65,2,306,306
Precinct,308 - Jefferson,344,24,0,368,368
Precinct,309 - Magruder,458,27,2,487,487
Precinct,310 - Marshall,524,41,2,567,567
Precinct,311 - Newmarket,1140,303,8,1451,1451
Precinct,312 - Newsome Park,283,22,1,306,306
Precinct,313 - Reed,838,47,2,887,887
Precinct,314 - River,519,243,2,764,764
Precinct,315 - Sedgefield,671,433,0,1104,1104
Precinct,316 - South Morrison,888,430,2,1320,1320
Precinct,317 - Washington,429,44,1,474,474
Precinct,318 - Wilson,495,72,0,567,567
Precinct,319 - Saunders,1186,752,4,1942,1942
Precinct,320 - Watkins,1414,1065,9,2488,2488
Precinct,321 - Hilton,949,581,3,1533,1533
Precinct,322 - Warwick,555,330,1,886,886
Locality,Norfolk City,47150,16621,137,63908,63908
Precinct,101 - Granby,1312,531,3,1846,1846
Precinct,102 - Ocean View School,484,335,4,823,823
Precinct,103 - Northside,754,519,3,1276,1276
Precinct,104 - Titustown,547,64,0,611,611
Precinct,106 - 2nd Presbyterian,1178,589,3,1770,1770
Precinct,107 - Wesley,737,328,7,1072,1072
Precinct,201 - Larchmont School,1406,491,2,1899,1899
Precinct,203 - Ghent Square,749,200,0,949,949
Precinct,207 - Lambert's Point,1315,167,8,1490,1490
Precinct,208 - LARCHMONT UMC,784,430,6,1220,1220
Precinct,210 - Maury,1192,313,9,1514,1514
Precinct,211 - Chrysler Museum,1778,603,3,2384,2384
Precinct,212 - Park Place,925,80,1,1006,1006
Precinct,213 - Taylor Elementary School,1588,306,2,1896,1896
Precinct,214 - Virginia Zoo,1498,314,5,1817,1817
Precinct,215 - Suburban Park,815,428,1,1244,1244
Precinct,218 - Willard,1506,815,4,2325,2325
Precinct,301 - Ballentine,1010,171,2,1183,1183
Precinct,302 - Tanners Creek,595,145,0,740,740
Precinct,303 - Broad Creek,1362,98,2,1462,1462
Precinct,304 - Coleman Place School,553,117,2,672,672
Precinct,305 - Lafayette-winona,852,197,0,1049,1049
Precinct,306 - Lindenwood,718,79,3,800,800
Precinct,309 - Norview,1592,414,5,2011,2011
Precinct,310 - Rosemont,1594,109,3,1706,1706
Precinct,311 - Sherwood,1493,537,2,2032,2032
Precinct,313 - Union Chapel,520,41,2,563,563
Precinct,402 - Berkley,893,50,1,944,944
Precinct,404 - Campostella,940,86,4,1030,1030
Precinct,405 - Chesterfield,1173,74,2,1249,1249
Precinct,406 - Barron Black,576,332,0,908,908
Precinct,408 - Eastside,926,529,7,1462,1462
Precinct,409 - Fairlawn,735,341,3,1079,1079
Precinct,411 - Ruffner Academy,502,40,0,542,542
Precinct,412 - Ingleside,975,176,0,1151,1151
Precinct,413 - Poplar Halls,1383,302,4,1689,1689
Precinct,414 - Young Park,848,57,1,906,906
Precinct,415 - Lake Taylor High School,779,328,1,1108,1108
Precinct,501 - Bayview,966,650,0,1616,1616
Precinct,503 - East Ocean View,1245,864,4,2113,2113
Precinct,504 - Larrymore,834,446,3,1283,1283
Precinct,505 - Little Creek,561,418,4,983,983
Precinct,506 - Ocean View Golf Course,1167,565,3,1735,1735
Precinct,507 - Pretlow,875,524,3,1402,1402
Precinct,509 - Tarrallton,698,706,4,1408,1408
Precinct,510 - 3rd Presbyterian,828,763,5,1596,1596
Precinct,511 - Crossroads,825,576,3,1404,1404
Precinct,512 - Azalea Gardens,564,373,3,940,940
Locality,Northampton County,2899,2583,9,5491,5491
Precinct,101 - Precinct 1-1,744,796,1,1541,1541
Precinct,201 - Precinct 2-1,582,389,5,976,976
Precinct,301 - Precinct 3-1,577,335,1,913,913
Precinct,401 - Precinct 4-1,588,590,1,1179,1179
Precinct,501 - Precinct 5-1,408,473,1,882,882
Locality,Northumberland County,2537,4244,8,6789,6789
Precinct,101 - 1a,420,744,5,1169,1169
Precinct,201 - 2a,437,842,1,1280,1280
Precinct,301 - 3a,592,397,0,989,989
Precinct,401 - 4a,541,1124,1,1666,1666
Precinct,501 - 5a,547,1137,1,1685,1685
Locality,Norton City,310,722,6,1038,1038
Precinct,001 - East Ward,310,722,6,1038,1038
Locality,Nottoway County,2384,3614,15,6013,6013
Precinct,101 - Precinct 1-1,314,615,1,930,930
Precinct,201 - Precinct 2-1,307,877,3,1187,1187
Precinct,202 - Precinct 2-2,256,405,3,664,664
Precinct,301 - Precinct 3-1,417,382,1,800,800
Precinct,302 - Precinct 3-2,102,145,2,249,249
Precinct,401 - Precinct 4-1,421,144,3,568,568
Precinct,402 - Precinct 4-2,155,320,1,476,476
Precinct,501 - Precinct 5-1,412,726,1,1139,1139
Locality,Orange County,6926,10265,44,17235,17235
Precinct,101 - 1 WEST,679,996,6,1681,1681
Precinct,102 - 1 EAST,411,789,1,1201,1201
Precinct,103 - 1 TOWN,317,263,1,581,581
Precinct,201 - 2 WEST,470,1028,2,1500,1500
Precinct,202 - 2 EAST,430,1337,5,1772,1772
Precinct,301 - 3 WEST,155,242,0,397,397
Precinct,302 - 3 EAST,288,634,2,924,924
Precinct,303 - 3 TOWN,836,823,6,1665,1665
Precinct,401 - 4 WEST,548,1221,5,1774,1774
Precinct,402 - 4 EAST,794,806,8,1608,1608
Precinct,501 - 5 SOUTH,913,943,2,1858,1858
Precinct,502 - 5 NORTH,1085,1183,6,2274,2274
Locality,Page County,2216,7031,23,9270,9270
Precinct,101 - West Luray,617,1295,4,1916,1916
Precinct,201 - East Luray,572,1344,8,1924,1924
Precinct,301 - Marksville,385,1659,5,2049,2049
Precinct,401 - Newport,331,1265,3,1599,1599
Precinct,501 - Shenandoah,311,1468,3,1782,1782
Locality,Patrick County,1380,5177,11,6568,6568
Precinct,101 - Ararat,93,304,0,397,397
Precinct,102 - Claudville,65,294,2,361,361
Precinct,103 - Willis Gap,62,353,0,415,415
Precinct,201 - Dry Pond,61,258,0,319,319
Precinct,202 - Patrick Springs,120,430,0,550,550
Precinct,203 - Russell Creek,117,411,2,530,530
Precinct,301 - Critz/stella,199,625,2,826,826
Precinct,302 - Liberty,63,422,0,485,485
Precinct,401 - Meadows Of Dan,169,452,0,621,621
Precinct,402 - Stuart Fairgrounds,79,269,1,349,349
Precinct,403 - Stuart Community,70,234,3,307,307
Precinct,502 - Elamsville,130,529,1,660,660
Precinct,503 - Woolwine,152,596,0,748,748
Locality,Petersburg City,8567,1234,61,9862,9862
Precinct,101 - 1st WARD 1st,988,136,10,1134,1134
Precinct,201 - 2nd WARD 1st,1422,170,7,1599,1599
Precinct,301 - 3rd WARD 1st,1590,340,14,1944,1944
Precinct,401 - 4th WARD 1st,1088,223,9,1320,1320
Precinct,501 - 5th WARD 1st,1043,128,5,1176,1176
Precinct,601 - 6th WARD 1st,1127,84,8,1219,1219
Precinct,701 - 7th WARD 1st,1309,153,8,1470,1470
Locality,Pittsylvania County,6943,17588,40,24571,24571
Precinct,103 - Twin Springs,402,1629,5,2036,2036
Precinct,105 - Chatham,179,450,3,632,632
Precinct,106 - Tunstall,211,725,1,937,937
Precinct,108 - West Blairs,180,351,0,531,531
Precinct,201 - Callands,173,589,1,763,763
Precinct,202- Bearskin,154,267,0,421,421
Precinct,204 - Sandy Level,130,411,0,541,541
Precinct,206 - Climax,117,464,1,582,582
Precinct,207 - Gretna,254,837,1,1092,1092
Precinct,301 - Central,375,375,1,751,751
Precinct,305 - Riceville,293,324,3,620,620
Precinct,307 - East Blairs,556,311,2,869,869
Precinct,308 - Mt Airy,234,252,0,486,486
Precinct,309 - East Gretna,142,248,0,390,390
Precinct,402 - Keeling,164,611,0,775,775
Precinct,404 - Kentuck,329,1079,3,1411,1411
Precinct,405 - Ringgold,383,1079,1,1463,1463
Precinct,501 - Hurt,373,865,5,1243,1243
Precinct,502 - Motley Sycamore,430,1108,7,1545,1545
Precinct,503 - Renan,104,476,1,581,581
Precinct,603 - Stony Mill,229,743,2,974,974
Precinct,604 - Swansonville,134,424,0,558,558
Precinct,605 - Whitmell,180,543,1,724,724
Precinct,606 - Brosville,301,435,0,736,736
Precinct,607 - Dry Fork,58,303,0,361,361
Precinct,702 - Bachelors Hall,170,891,1,1062,1062
Precinct,703 - Ferry Road,67,148,0,215,215
Precinct,704 - Mt Hermon,453,1061,1,1515,1515
Precinct,705 - Mt Cross,168,589,0,757,757
Locality,Poquoson City,1706,4524,8,6238,6238
Precinct,001 - Central,572,1455,3,2030,2030
Precinct,002 - Eastern,498,1472,1,1971,1971
Precinct,003 - Western,636,1597,4,2237,2237
Locality,Portsmouth City,22042,8977,85,31104,31104
Precinct,001 - Emanuel A. M. E. Church,932,292,2,1226,1226
Precinct,005 - Charles A. Fisher Memorial Academy,513,47,0,560,560
Precinct,007- Park View Elementary School,614,156,3,773,773
Precinct,009 - 3rd Baptist Church,842,185,3,1030,1030
Precinct,010 - Mount Hermon Preschool Center,402,186,0,588,588
Precinct,011 - Joseph E. Parker Recreation Center,636,57,0,693,693
Precinct,013 - St. Mark Missionary Baptist Church,353,35,0,388,388
Precinct,014 - Brighton Elementary School,732,45,3,780,780
Precinct,016 - Cradock Middle School,565,187,2,754,754
Precinct,017 - Victory Life Fellowship,724,288,4,1016,1016
Precinct,019 - Victory Elementary School,324,173,1,498,498
Precinct,020 - Noble Street Baptist Church,817,193,2,1012,1012
Precinct,021 - Hendricks/Kendall Recreation Center,464,45,1,510,510
Precinct,022 - St. Mark Deliverance Center,527,357,2,886,886
Precinct,023 - Westhaven Baptist Church,403,471,4,878,878
Precinct,024 - The Senior Station,520,240,3,763,763
Precinct,025 - Waterview Elementary School,711,396,2,1109,1109
Precinct,026 - William E. Waters Middle School,916,76,1,993,993
Precinct,027 - Cavalier Manor Recreation Center,816,58,2,876,876
Precinct,028 - Lakeview Elementary School,1430,97,1,1528,1528
Precinct,029 - Manor High School,254,380,4,638,638
Precinct,030 - The Rescue Church,351,474,4,829,829
Precinct,031 - West Park Church Of Christ,804,422,12,1238,1238
Precinct,032 - Hodges Manor Elementary School,444,448,3,895,895
Precinct,033- Pinecrest Baptist Church,278,469,3,750,750
Precinct,034- Churchland Branch Library,608,500,4,1112,1112
Precinct,035 - Churchland Elementary School,672,593,3,1268,1268
Precinct,036 - Churchland High School,1367,905,3,2275,2275
Precinct,037 - Churchland Middle School,1156,488,7,1651,1651
Precinct,038 - Grove Baptist Church,1255,234,2,1491,1491
Precinct,039 - Churchland Primary And Intermediate School,1612,480,4,2096,2096
Locality,Powhatan County,4843,12115,35,16993,16993
Precinct,101 - Subletts,507,1234,3,1744,1744
Precinct,102 - Manakin,524,942,4,1470,1470
Precinct,103 - Flat Rock,157,480,0,637,637
Precinct,201 - Powhatan Station,296,1013,2,1311,1311
Precinct,202 - Graceland,456,1340,2,1798,1798
Precinct,301 - Bethesda,517,1300,3,1820,1820
Precinct,302 - Lee's Landing,555,1214,7,1776,1776
Precinct,401 - Powhatan Courthouse,630,1861,7,2498,2498
Precinct,402 - Mt Zion,243,721,1,965,965
Precinct,501 - Smith Cross Roads,500,913,2,1415,1415
Precinct,502 - Pineville,311,512,0,823,823
Precinct,503 - Tobaccoville,147,585,4,736,736
Locality,Prince Edward County,3648,3711,25,7384,7384
Precinct,101 - Farmville,532,499,6,1037,1037
Precinct,201 - Lockett,490,670,6,1166,1166
Precinct,301 - Leigh,350,433,0,783,783
Precinct,302 - Mt Pleasant,192,167,1,360,360
Precinct,401 - Hampden,384,439,1,824,824
Precinct,501 - Darlington Hts,209,342,2,553,553
Precinct,502 - Buffalo Hts,148,159,1,308,308
Precinct,601 - Prospect,607,543,6,1156,1156
Precinct,701 - West End,466,372,2,840,840
Precinct,801 - Center,270,87,0,357,357
Locality,Prince George County,5480,8122,27,13629,13629
Precinct,101 - Richard Bland,327,539,2,868,868
Precinct,102 - Templeton,597,1904,3,2504,2504
Precinct,103 - Union Branch,616,807,4,1427,1427
Precinct,104 - Rives,454,380,1,835,835
Precinct,105 - Harrison,111,508,1,620,620
Precinct,201 - Bland,998,1440,9,2447,2447
Precinct,202 - Blackwater,499,1000,2,1501,1501
Precinct,203 - Brandon,168,452,2,622,622
Precinct,204 - Courts,1033,760,2,1795,1795
Precinct,205 - Jefferson Park,677,332,1,1010,1010
Locality,Prince William County,108434,56669,348,165451,165451
Precinct,101 - Brentsville,666,1349,2,2017,2017
Precinct,102 - Cedar Point,1021,699,5,1725,1725
Precinct,103 - Glenkirk,1228,945,4,2177,2177
Precinct,104 - Nokesville,1099,1331,4,2434,2434
Precinct,105 - Piney Branch,1059,744,2,1805,1805
Precinct,106 - Unity Reed,339,152,4,495,495
Precinct,107 - Marsteller,1406,872,4,2282,2282
Precinct,108 - Victory,1333,774,4,2111,2111
Precinct,109 - Chris Yung,1252,645,5,1902,1902
Precinct,110 - Buckland Mills,1171,806,8,1985,1985
Precinct,111 - Limestone,1383,990,6,2379,2379
Precinct,112 - Burke-nickens,1527,1122,9,2658,2658
Precinct,113 - Lakes,1172,709,2,1883,1883
Precinct,114 - Bristow Run,1488,1023,7,2518,2518
Precinct,201 - Hylton,1154,453,2,1609,1609
Precinct,202 - West Gate,588,230,0,818,818
Precinct,203 - Bennett,1546,900,10,2456,2456
Precinct,204 - Ellis,753,385,1,1139,1139
Precinct,205 - Buckhall,831,703,5,1539,1539
Precinct,206 - Coles,1141,997,5,2143,2143
Precinct,207 - Spriggs,1196,618,1,1815,1815
Precinct,208 - Colgan,608,562,0,1170,1170
Precinct,209 - Independent Hill,663,953,2,1618,1618
Precinct,210 - Yates Ford,1123,1039,9,2171,2171
Precinct,211 - Signal Hill,762,366,3,1131,1131
Precinct,212 - Yorkshire,778,439,1,1218,1218
Precinct,213 - Parkside,685,406,3,1094,1094
Precinct,214 - Lucasville,974,1016,2,1992,1992
Precinct,215 - Saunders,1222,393,7,1622,1622
Precinct,301 - Dumfries,1043,313,4,1360,1360
Precinct,302 - Potomac,1323,238,1,1562,1562
Precinct,303 - Graham Park,744,232,2,978,978
Precinct,304 - Quantico,108,87,0,195,195
Precinct,305 - Forest Park,1168,654,2,1824,1824
Precinct,306 - 4 Seasons,1255,633,8,1896,1896
Precinct,307 - Henderson,1014,605,3,1622,1622
Precinct,308 - Montclair,707,423,1,1131,1131
Precinct,309 - Ashland,950,544,0,1494,1494
Precinct,310 - Forest Park,1101,364,3,1468,1468
Precinct,311 - Swans Creek,1221,382,2,1605,1605
Precinct,312 - Triangle,1345,462,5,1812,1812
Precinct,313 - Cardinal,1396,517,1,1914,1914
Precinct,314 - Cabin Branch,1027,487,4,1518,1518
Precinct,315 - Williams,1336,249,2,1587,1587
Precinct,316 - Potomac Shores,1728,448,3,2179,2179
Precinct,401 - Evergreen,908,1155,3,2066,2066
Precinct,402 - Gravely,1196,1513,6,2715,2715
Precinct,403 - Bull Run,1132,768,3,1903,1903
Precinct,404 - Unity Braxton,631,252,1,884,884
Precinct,405 - Ben Lomond,953,323,4,1280,1280
Precinct,406 - Alvey,1228,1069,4,2301,2301
Precinct,407 - Heritage Hunt,1624,1329,2,2955,2955
Precinct,408 - Sudley,634,399,4,1037,1037
Precinct,409 - Tyler,1759,1064,2,2825,2825
Precinct,410 - Mountain View,1318,1117,5,2440,2440
Precinct,411 - Mullen,1086,315,3,1404,1404
Precinct,412 - Catharpin,609,952,2,1563,1563
Precinct,413 - Reagan,1093,1000,4,2097,2097
Precinct,414 - Seymour,791,317,2,1110,1110
Precinct,501 - Springwoods,1444,592,0,2036,2036
Precinct,502 - Occoquan,1169,469,2,1640,1640
Precinct,503 - Mohican,768,259,4,1031,1031
Precinct,504 - Rockledge,949,457,4,1410,1410
Precinct,505 - Lake Ridge,1444,627,9,2080,2080
Precinct,506 - Old Bridge,961,442,2,1405,1405
Precinct,507 - Chinn,1476,465,5,1946,1946
Precinct,508 - Purcell,1056,898,4,1958,1958
Precinct,509 - Mc Coart,1325,982,5,2312,2312
Precinct,510 - County Center,341,64,1,406,406
Precinct,511 - Westridge,1535,671,10,2216,2216
Precinct,512 - York,943,230,2,1175,1175
Precinct,513 - Woodbridge,1423,750,6,2179,2179
Precinct,514 - Antietam,1408,615,5,2028,2028
Precinct,515 - Marshall,930,820,10,1760,1760
Precinct,516 - Kerrydale,518,169,1,688,688
Precinct,601 - Dale,1043,245,6,1294,1294
Precinct,602 - Beville,1442,411,11,1864,1864
Precinct,603 - Hampton,1108,348,3,1459,1459
Precinct,604 - Gar-Field,998,216,2,1216,1216
Precinct,605 - Minnieville,695,284,0,979,979
Precinct,606 - Bel Air,976,390,6,1372,1372
Precinct,607 - Hillendale,767,253,1,1021,1021
Precinct,608 - Enterprise,1366,517,2,1885,1885
Precinct,609 - King,887,283,4,1174,1174
Precinct,610 - Fitzgerald,1295,332,3,1630,1630
Precinct,611 - Neabsco,1239,371,2,1612,1612
Precinct,612 - Elm Farm,724,312,3,1039,1039
Precinct,613 - Hoadly,344,98,1,443,443
Precinct,614 - Rosa Parks,1196,384,2,1582,1582
Precinct,615 - Commons,143,16,1,160,160
Precinct,616 - Markham,374,49,0,423,423
Precinct,701 - Belmont,1299,584,3,1886,1886
Precinct,702 - Library,1378,318,4,1700,1700
Precinct,703 - Lynn,721,156,0,877,877
Precinct,704 - Porter,1117,199,4,1320,1320
Precinct,705 - Potomac View,664,285,1,950,950
Precinct,706 - Rippon,1274,440,6,1720,1720
Precinct,707 - Kilby,1006,310,0,1316,1316
Precinct,708 - River Oaks,1386,297,1,1684,1684
Precinct,709 - Freedom,1121,224,1,1346,1346
Precinct,710 - Powells Creek,1254,200,5,1459,1459
Precinct,711 - Grayson,1027,296,0,1323,1323
Precinct,712 - Leesylvania,1304,509,3,1816,1816
Locality,Pulaski County,3684,8739,55,12478,12478
Precinct,101 - Belspring,143,365,3,511,511
Precinct,102 - New River,680,1051,6,1737,1737
Precinct,103 - West Cloyd,161,368,6,535,535
Precinct,201 - Draper,211,795,3,1009,1009
Precinct,202 - South Pulaski,67,96,0,163,163
Precinct,203 - Newbern,454,980,10,1444,1444
Precinct,301 - Dublin,444,1207,7,1658,1658
Precinct,302 - Hiwassee,73,229,0,302,302
Precinct,304 - Snowville,201,648,2,851,851
Precinct,402 - Walker,90,478,0,568,568
Precinct,403 - West Massie,377,845,6,1228,1228
Precinct,404 - East Massie,124,312,1,437,437
Precinct,501 - Robinson,659,1365,11,2035,2035
Locality,Radford City,2551,2042,75,4668,4668
Precinct,001 - East,606,294,3,903,903
Precinct,002 - Central,713,682,37,1432,1432
Precinct,003 - West,679,813,28,1520,1520
Precinct,004 - New River,553,253,7,813,813
Locality,Rappahannock County,1758,2255,19,4032,4032
Precinct,101 - Washington,397,404,3,804,804
Precinct,201 - Amissville,272,603,0,875,875
Precinct,301 - Sperryville,421,371,3,795,795
Precinct,401 - Scrabble,349,421,9,779,779
Precinct,501 - Chester Gap,90,238,2,330,330
Precinct,502 - Flint Hill,229,218,2,449,449
Locality,Richmond City,77011,13489,164,90664,90664
Precinct,101 - One Hundred One,398,214,3,615,615
Precinct,102 - One Hundred Two,560,403,0,963,963
Precinct,104 - One Hundred Four,815,683,5,1503,1503
Precinct,105 - One Hundred Five,958,391,1,1350,1350
Precinct,106 - One Hundred Six,685,892,1,1578,1578
Precinct,111 - One Hundred Eleven,954,389,3,1346,1346
Precinct,112 - One Hundred Twelve,884,279,2,1165,1165
Precinct,113 - One Hundred Thirteen,1868,234,6,2108,2108
Precinct,114 - One Hundred Fourteen,1904,291,3,2198,2198
Precinct,115 - One Hundred Fifteen,615,480,6,1101,1101
Precinct,204 - Two Hundred Four,1191,201,3,1395,1395
Precinct,206 - Two Hundred Six,787,79,0,866,866
Precinct,207 - Two Hundred Seven,1617,251,4,1872,1872
Precinct,208 - Two Hundred Eight,1773,263,2,2038,2038
Precinct,213 - Two Hundred Thirteen,1589,75,4,1668,1668
Precinct,214 - Two Hundred Fourteen,1260,66,2,1328,1328
Precinct,215 - Two Hundred Fifteen,1620,300,2,1922,1922
Precinct,216 - Two Hundred Sixteen,385,18,0,403,403
Precinct,301 - Three Hundred One,627,48,2,677,677
Precinct,302 - Three Hundred Two,749,131,2,882,882
Precinct,303 - Three Hundred Three,778,57,1,836,836
Precinct,304 - Three Hundred Four,1233,90,2,1325,1325
Precinct,305 - Three Hundred Five,1241,132,0,1373,1373
Precinct,306 - Three Hundred Six,585,36,2,623,623
Precinct,307 - Three Hundred Seven,2079,461,7,2547,2547
Precinct,308 - Three Hundred Eight,1125,246,4,1375,1375
Precinct,309 - Three Hundred Nine,497,144,1,642,642
Precinct,310 - Three Hundred Ten,183,23,0,206,206
Precinct,311 - Three Hundred Eleven,467,49,1,517,517
Precinct,402 - Four Hundred Two,2240,477,8,2725,2725
Precinct,404 - Four Hundred Four,1223,214,3,1440,1440
Precinct,409 - Four Hundred Nine,1069,506,0,1575,1575
Precinct,410 - Four Hundred Ten,1066,327,0,1393,1393
Precinct,412 - Four Hundred Twelve,1353,229,0,1582,1582
Precinct,413 - Four Hundred Thirteen,1117,349,2,1468,1468
Precinct,414 - Four Hundred Fourteen,1194,472,1,1667,1667
Precinct,415 - Four Hundred Fifteen,1011,412,2,1425,1425
Precinct,501 - Five Hundred One,1690,214,6,1910,1910
Precinct,503 - Five Hundred Three,1637,172,7,1816,1816
Precinct,504 - Five Hundred Four,1811,160,3,1974,1974
Precinct,505 - Five Hundred Five,1357,96,2,1455,1455
Precinct,508 - Five Hundred Eight,856,98,0,954,954
Precinct,509 - Five Hundred Nine,895,79,0,974,974
Precinct,510 - Five Hundred Ten,1406,138,3,1547,1547
Precinct,602 - Six Hundred Two,553,39,1,593,593
Precinct,603 - Six Hundred Three,707,50,2,759,759
Precinct,604 - Six Hundred Four,806,63,2,871,871
Precinct,606 - Six Hundred Six,1280,70,3,1353,1353
Precinct,607 - Six Hundred Seven,1095,167,5,1267,1267
Precinct,609 - Six Hundred Nine,1242,124,3,1369,1369
Precinct,610 - Six Hundred Ten,607,36,3,646,646
Precinct,611 - Six Hundred Eleven,1066,82,4,1152,1152
Precinct,701 - Seven Hundred One,526,48,0,574,574
Precinct,702 - Seven Hundred Two,1035,73,1,1109,1109
Precinct,703 - Seven Hundred Three,1351,109,0,1460,1460
Precinct,705 - Seven Hundred Five,1259,117,2,1378,1378
Precinct,706 - Seven Hundred Six,1691,163,3,1857,1857
Precinct,707 - Seven Hundred Seven,2275,222,3,2500,2500
Precinct,708 - Seven Hundred Eight,909,79,2,990,990
Precinct,709 - Seven Hundred Nine,782,95,0,877,877
Precinct,802 - Eight Hundred Two,862,59,2,923,923
Precinct,806 - Eight Hundred Six,892,104,1,997,997
Precinct,810 - Eight Hundred Ten,684,82,2,768,768
Precinct,811 - Eight Hundred Eleven,859,88,1,948,948
Precinct,812 - Eight Hundred Twelve,1439,171,5,1615,1615
Precinct,814 - Eight Hundred Fourteen,654,65,2,721,721
Precinct,902 - Nine Hundred Two,329,24,0,353,353
Precinct,903 - Nine Hundred Three,900,120,4,1024,1024
Precinct,908 - Nine Hundred Eight,920,97,3,1020,1020
Precinct,909 - Nine Hundred Nine,1078,112,1,1191,1191
Precinct,910 - Nine Hundred Ten,940,101,2,1043,1043
Precinct,911 - Nine Hundred Eleven,918,60,1,979,979
Locality,Richmond County,1047,2043,6,3096,3096
Precinct,101 - Precinct 1-1,302,304,2,608,608
Precinct,201 - Precinct 2-1,145,361,1,507,507
Precinct,301 - Precinct 3-1,224,437,0,661,661
Precinct,401 - Precinct 4-1,206,463,2,671,671
Precinct,501 - Precinct 5-1,170,478,1,649,649
Locality,Roanoke City,19996,10628,76,30700,30700
Precinct,1 -Peters Creek,1057,299,2,1358,1358
Precinct,2 - Grandview,891,368,4,1263,1263
Precinct,3 -Preston Park,670,622,1,1293,1293
Precinct,4 - Williamson Road,844,497,5,1346,1346
Precinct,5 - East Gate,795,915,3,1713,1713
Precinct,6 - Hollins Road,629,533,4,1166,1166
Precinct,7 - Southeast,664,492,2,1158,1158
Precinct,8 - Lincoln Terrace,879,104,4,987,987
Precinct,9 - Highland,1179,308,7,1494,1494
Precinct,10 - Old Southwest-Wasena,1477,480,1,1958,1958
Precinct,11 - Raleigh Court,1518,634,3,2155,2155
Precinct,12 - South Roanoke,906,860,6,1772,1772
Precinct,13 - Garden City,644,782,3,1429,1429
Precinct,14 - Crystal Spring,1053,708,7,1768,1768
Precinct,15 - Grandin Court,1186,678,5,1869,1869
Precinct,16 - Deyerle,1113,929,5,2047,2047
Precinct,17 - Lee-Hi,1449,639,3,2091,2091
Precinct,18 - Summit Hills,886,511,6,1403,1403
Precinct,19 - Forest Park,975,154,3,1132,1132
Precinct,20 - Eureka Park,1181,115,2,1298,1298
Locality,Roanoke County,17179,25400,113,42692,42692
Precinct,101 - Catawba,449,1165,6,1620,1620
Precinct,102 - Richfield,471,883,3,1357,1357
Precinct,103 - North Glenvar,437,972,4,1413,1413
Precinct,104 - Northside,638,766,6,1410,1410
Precinct,105 - Hanging Rock,650,835,1,1486,1486
Precinct,106 - South Glenvar,210,574,4,788,788
Precinct,107 - Fort Lewis,386,575,3,964,964
Precinct,201 - Plantation,501,724,4,1229,1229
Precinct,202 - Burlington,443,414,2,859,859
Precinct,203 - Mountain View,770,1202,7,1979,1979
Precinct,204 - Green Ridge,607,814,5,1426,1426
Precinct,205 - Orchards,705,1243,1,1949,1949
Precinct,206 - Hollins,318,388,1,707,707
Precinct,301 - Bent Mountain,167,291,2,460,460
Precinct,302 - Back Creek,822,1318,1,2141,2141
Precinct,303 - Windsor Hills,663,624,9,1296,1296
Precinct,304 - Oak Grove,694,911,1,1606,1606
Precinct,305 - East Hidden Valley,622,772,4,1398,1398
Precinct,306 - Garst Mill,647,646,2,1295,1295
Precinct,307 - West Hidden Valley,521,707,2,1230,1230
Precinct,401 - Bonsack,302,628,5,935,935
Precinct,403 - North Vinton,522,792,3,1317,1317
Precinct,404 - South Vinton,491,726,6,1223,1223
Precinct,405 - North Lindenwood,449,934,3,1386,1386
Precinct,405 - South Lindenwood,380,788,6,1174,1174
Precinct,406 - Mount Pleasant,494,1169,4,1667,1667
Precinct,501 - Starkey,550,679,2,1231,1231
Precinct,502 - West Cave Spring,556,701,2,1259,1259
Precinct,503 - East Cave Spring,600,695,3,1298,1298
Precinct,504 - Green Valley,917,751,3,1671,1671
Precinct,505 - Clearbrook,277,611,4,892,892
Precinct,506 - Buck Mountain,147,196,2,345,345
Precinct,507 - Hunting Hills,773,906,2,1681,1681
Locality,Rockbridge County,3365,6710,16,10091,10091
Precinct,101 - Airport,582,578,4,1164,1164
