,,Mark Robert Warner,Edward Walter Gillespie,Robert Christopher Sarvis,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,Libertarian,,,
Precinct,102 - Blaydes Corner (CD 7),265,572,19,1,857,0
Precinct,103 - Travelers Rest (CD 7),503,726,36,2,1267,0
Precinct,104 - Massaponax (CD 1),0,1,0,0,1,0
Precinct,104 - Massaponax (CD 7),426,699,24,3,1152,0
Precinct,201 - Wilderness School (CD 7),367,687,20,2,1076,0
Precinct,202 - Wilderness Fire (CD 7),331,654,37,1,1023,0
Precinct,203 - Ni River / Elys Ford (CD 7),277,716,25,1,1019,0
Precinct,204 - Chancellor (CD 7),542,715,35,1,1293,0
Precinct,301 - Plank Road (CD 1),490,791,20,1,1302,0
Precinct,302 - Hazel Run (CD 1),596,829,36,2,1463,0
Precinct,303 - Riverbend (CD 7),2,8,0,0,10,0
Precinct,303 - Riverbend (CD 1),592,1092,26,1,1711,0
Precinct,401 - Summit (CD 7),2,10,0,0,12,0
Precinct,401 - Summit (CD 1),538,695,41,0,1274,0
Precinct,402 - Parkside (CD 1),269,391,7,0,667,0
Precinct,402 - Parkside (CD 7),278,240,11,0,529,0
Precinct,403 - Lee Hill (CD 1),115,130,4,0,249,0
Precinct,403 - Lee Hill (CD 7),595,836,37,1,1469,0
Precinct,501 - Belmont (CD 7),232,542,25,0,799,0
Precinct,502 - Brokenburg (CD 7),197,480,22,0,699,0
Precinct,503 - Post Oak (CD 7),221,570,16,0,807,0
Precinct,504 - Courthouse (CD 7),473,710,23,1,1207,0
Precinct,505 - Brock (CD 7),423,893,19,0,1335,0
Precinct,601 - Salem (CD 7),559,753,39,2,1353,0
Precinct,602 - Smith Station (CD 7),750,951,41,1,1743,0
Precinct,603 - Piedmont (CD 7),330,492,22,3,847,0
Precinct,701 - Battlefield (CD 1),458,606,19,0,1083,0
Precinct,702 - Brents Mill (CD 1),255,378,14,0,647,0
Precinct,702 - Brents Mill (CD 7),282,320,23,1,626,0
Precinct,703 - Fairview (CD 7),298,297,17,2,614,0
Precinct,704 - Gayle (CD 7),751,980,20,0,1751,0
Precinct,Ab - Central Absentee Precinct (CD 1),209,301,11,0,521,0
Precinct,Ab - Central Absentee Precinct (CD 7),506,797,18,0,1321,0
Precinct,Provisional (CD 7),1,0,0,0,1,0
Locality,Stafford County,13436,19790,729,34,33989,0
Precinct,101 - Hartwood,534,1359,51,0,1944,0
Precinct,102 - Rocky Run,429,519,15,1,964,0
Precinct,103 - Simpson,357,680,21,1,1059,0
Precinct,104 - College,520,888,30,2,1440,0
Precinct,201 - Rock Hill,413,683,21,1,1118,0
Precinct,202 - Roseville,566,862,39,0,1467,0
Precinct,203 - Ruby,248,712,23,3,986,0
Precinct,204 - Stefaniga,561,1020,19,3,1603,0
Precinct,301 - Griffis,408,313,20,2,743,0
Precinct,302 - Widewater,600,566,31,0,1197,0
Precinct,303 - Harbour,319,591,25,1,936,0
Precinct,304 - Barrett,265,259,13,0,537,0
Precinct,401 - Aquia,199,136,7,0,342,0
Precinct,402 - Courthouse,786,646,34,1,1467,0
Precinct,403 - Brooke,548,983,31,0,1562,0
Precinct,404 - Government Island,427,748,24,0,1199,0
Precinct,501 - Grafton,572,1048,40,1,1661,0
