,,Mark Rankin Herring,Mark Dudley Obenshain,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Precinct,201 - Chap,82,129,1,212,0
Precinct,202 - Spout Spring,173,645,3,821,0
Precinct,301 - Us 460,104,369,1,474,0
Precinct,302 - Stonewall,131,395,0,526,0
Precinct,401 - Courthouse,207,606,1,814,0
Precinct,501 - Oakville,218,496,4,718,0
Precinct,502 - Agee,91,172,0,263,0
Precinct,Ab - Central Absentee Precinct,49,132,0,181,0
Precinct,Provisional,0,1,0,1,0
Locality,Arlington County,49919,16694,192,66805,0
Precinct,1 - Arlington,717,158,1,876,0
Precinct,2 - Ashton Heights,1037,287,2,1326,0
Precinct,3 - Aurora Hills,678,302,1,981,0
Precinct,4 - Ballston,800,321,7,1128,0
Precinct,5 - Barcroft,863,270,3,1136,0
Precinct,6 - Crystal City,599,288,4,891,0
Precinct,7 - Cherrydale,1035,348,5,1388,0
Precinct,8 - Hume,900,414,5,1319,0
Precinct,9 - Columbia,1112,246,9,1367,0
Precinct,10 - Wilson,866,322,3,1191,0
Precinct,11 - East Falls Church,723,314,1,1038,0
Precinct,12 - Fairlington,1004,385,5,1394,0
Precinct,13 - Glen Carlyn,646,187,3,836,0
Precinct,14 - Clarendon,630,254,2,886,0
Precinct,15 - Lyon Park,854,267,1,1122,0
Precinct,16 - Lyon Village,936,307,1,1244,0
Precinct,17 - Overlee Knolls,1128,399,3,1530,0
Precinct,18 - Park Lane,1048,319,3,1370,0
Precinct,19 - Rosslyn,997,309,5,1311,0
Precinct,20 - Thrifton,1009,497,3,1509,0
Precinct,21 - Virginia Highlands,947,456,4,1407,0
Precinct,22 - Abingdon,1065,382,3,1450,0
Precinct,23 - Westover,1019,346,4,1369,0
Precinct,24 - Woodlawn,1292,352,5,1649,0
Precinct,25 - Arlington Forest,833,241,3,1077,0
Precinct,26 - Fillmore,1122,305,2,1429,0
Precinct,27 - Jefferson,1000,331,4,1335,0
Precinct,28 - Claremont,1074,266,3,1343,0
Precinct,29 - Dominion Hills,1150,378,3,1531,0
Precinct,30 - Glebe,873,176,3,1052,0
Precinct,31 - Lexington,1143,359,9,1511,0
Precinct,32 - Oakridge,386,200,3,589,0
Precinct,33 - Rock Spring,1084,463,2,1549,0
Precinct,34 - Yorktown,965,381,0,1346,0
Precinct,35 - Madison,1052,615,9,1676,0
Precinct,36 - Marshall,1087,395,5,1487,0
Precinct,37 - Nottingham,952,394,1,1347,0
Precinct,38 - Arlington View,746,145,6,897,0
Precinct,39 - Ashlawn,582,219,4,805,0
Precinct,40 - Virginia Square,781,316,6,1103,0
Precinct,41 - Woodbury,723,261,3,987,0
Precinct,42 - Shirlington,704,208,3,915,0
Precinct,43 - Arlington Mill,592,98,1,691,0
Precinct,44 - Dawson Terrace,649,193,3,845,0
Precinct,45 - Buckingham,710,197,2,909,0
Precinct,46 - Central,808,308,5,1121,0
Precinct,47 - Four Mile Run,655,177,1,833,0
Precinct,48 - Courtlands,654,251,4,909,0
Precinct,49 - Monroe,490,145,3,638,0
Precinct,50 - Crystal Plaza,535,269,1,805,0
Precinct,51 - Taylor,256,107,0,363,0
Precinct,52 - Gunston,464,207,2,673,0
Precinct,Ab - Central Absentee Precinct,5885,1338,18,7241,0
Precinct,Provisional,59,21,0,80,0
Locality,Augusta County,5160,14959,30,20149,0
Precinct,101 - Jolivue,152,354,1,507,0
Precinct,102 - Stuarts Draft Elementary,158,365,1,524,0
Precinct,103 - Verona,227,695,0,922,0
Precinct,201 - Crimora,242,769,1,1012,0
Precinct,202 - New Hope,166,542,0,708,0
Precinct,203 - Weyers Cave,206,847,4,1057,0
Precinct,301 - Fort Defiance,448,1236,6,1690,0
Precinct,302 - North River,92,349,1,442,0
Precinct,303 - Mount Solon,100,484,1,585,0
Precinct,304 - Churchville Fire Station,101,376,0,477,0
Precinct,401 - Buffalo Gap,162,459,0,621,0
Precinct,402 - Churchville Elementary,134,435,2,571,0
Precinct,403 - Craigsville,69,269,0,338,0
Precinct,404 - Deerfield,39,142,0,181,0
Precinct,405 - Cedar Green,233,527,1,761,0
Precinct,501 - Greenville,207,683,0,890,0
Precinct,502 - Middlebrook,136,398,1,535,0
Precinct,503 - Spottswood,134,378,0,512,0
Precinct,504 - White Hill,218,703,2,923,0
Precinct,601 - Sherando,173,474,0,647,0
Precinct,602 - Stuarts Draft Rescue,349,1062,4,1415,0
Precinct,603 - Lyndhurst,295,742,0,1037,0
