,,Abigail D. Spanberger,Winsome Earle Sears,Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,304 - Nansemond River,1266,611,3,1880,1880
Precinct,305 - Shoulders Hill,603,290,2,895,895
Precinct,306 - Deerfield,854,466,6,1326,1326
Precinct,316 - Potomac Shores,1743,433,5,2181,2181
Precinct,401 - Airport,551,609,1,1161,1161
Precinct,402 - Whaleyville,468,1000,1,1469,1469
Precinct,403 - Southside,639,59,0,698,698
Precinct,404 - Booker T Washington,1009,58,2,1069,1069
Precinct,405 - Hollywood,575,40,2,617,617
Precinct,501 - Kilbys Mill,889,1042,5,1936,1936
Precinct,502 - Holland,412,765,5,1182,1182
Precinct,504 - Lake Cohoon,1285,1620,3,2908,2908
Precinct,505 - Pittmantown,388,594,2,984,984
Precinct,601 - Lakeside,954,586,2,1542,1542
Precinct,602 - Olde Towne,300,124,1,425,425
Precinct,603 - Elephants Fork/westhaven,371,221,1,593,593
Precinct,604 - Wilroy,1009,579,1,1589,1589
Precinct,605 - Mack Benn Jr,289,85,1,375,375
Precinct,703 - Pughsville,976,198,1,1175,1175
Precinct,704 - Burbage Grant,1333,492,3,1828,1828
Precinct,706 - Huntersville,1289,229,6,1524,1524
Locality,Surry County,1873,1707,4,3584,3584
Precinct,101 - Surry,323,451,1,775,775
Precinct,201 - Bacons Castle,426,263,1,690,690
Precinct,301 - Dendron,361,356,0,717,717
Precinct,401 - Carsley,377,357,1,735,735
Precinct,501 - Claremont,221,242,1,464,464
Precinct,502 - Spring Grove,165,38,0,203,203
Locality,Sussex County,2035,1802,4,3841,3841
Precinct,101 - Waverly,404,91,0,495,495
Precinct,201 - Stony Creek,341,227,1,569,569
Precinct,301 - Courthouse,81,138,0,219,219
Precinct,302 - NEWVILLE 1,49,119,0,168,168
Precinct,401 - Wakefield Firehouse,312,326,1,639,639
Precinct,501 - Henry,293,246,1,540,540
Precinct,601 - Blackwater,224,234,1,459,459
Precinct,602 - Wakefield,72,92,0,164,164
Precinct,701 - Yale,158,224,0,382,382
Precinct,702 - NEWVILLE 2,101,105,0,206,206
Locality,Tazewell County,2248,10407,21,12676,12676
Precinct,101 - Indian Valley,43,328,2,373,373
Precinct,102 - Tip Top,51,261,0,312,312
Precinct,103 - Mundy Town,108,540,0,648,648
Precinct,104 - Falls Mills,49,254,0,303,303
Precinct,106 - Pocahontas,27,130,2,159,159
Precinct,109 - Bishop,21,137,1,159,159
Precinct,112 - Bandy,21,177,2,200,200
Precinct,203 - Burkes Garden,14,81,0,95,95
Precinct,204 - Clear Fork,61,377,1,439,439
Precinct,207 - Freestone,18,95,0,113,113
Precinct,209 - Jeffersonville,480,1352,4,1836,1836
Precinct,214 - Thompson Valley,67,363,0,430,430
Precinct,301 - Cedar Bluff,171,1254,0,1425,1425
Precinct,302 - Baptist Valley,43,185,3,231,231
Precinct,303 - Paint Lick,175,972,0,1147,1147
Precinct,401 - Richlands,390,1760,3,2153,2153
Precinct,402 - Jewell Ridge,18,135,1,154,154
Precinct,501 - Springville,143,783,0,926,926
Precinct,502 - Graham,348,1223,2,1573,1573
Locality,Virginia Beach City,94339,75013,269,169621,169621
Precinct,001 - Precinct 1,1138,1500,5,2643,2643
Precinct,002 - Precinct 2,1143,891,2,2036,2036
Precinct,003 - Precinct 3,672,603,1,1276,1276
Precinct,004 - Precinct 4,907,1124,2,2033,2033
Precinct,005 - Precinct 5,924,575,1,1500,1500
Precinct,006 - Precinct 6,1056,1156,6,2218,2218
Precinct,007 - Precinct 7,684,662,3,1349,1349
Precinct,008 - Precinct 8,960,744,1,1705,1705
Precinct,009 - Precinct 9,904,1114,2,2020,2020
Precinct,010 - Precinct 10,978,1447,1,2426,2426
Precinct,011 - Precinct 11,1450,1124,8,2582,2582
Precinct,012 - Precinct 12,1077,700,1,1778,1778
Precinct,013 - Precinct 13,1119,973,4,2096,2096
Precinct,014 - Precinct 14,1044,851,3,1898,1898
Precinct,015 - Precinct 15,721,536,1,1258,1258
Precinct,016 - Precinct 16,901,728,2,1631,1631
Precinct,017 - Precinct 17,800,764,2,1566,1566
Precinct,018 - Precinct 18,1197,1091,4,2292,2292
Precinct,019 - Precinct 19,544,577,4,1125,1125
Precinct,020 - Precinct 20,570,535,1,1106,1106
Precinct,021 - Precinct 21,1285,387,1,1673,1673
Precinct,022 - Precinct 22,694,684,3,1381,1381
Precinct,023 - Precinct 23,915,822,0,1737,1737
Precinct,024 - Precinct 24,420,456,2,878,878
Precinct,025 - Precinct 25,1073,1017,8,2098,2098
Precinct,026 - Precinct 26,637,651,4,1292,1292
Precinct,027 - Precinct 27,526,509,3,1038,1038
Precinct,028 - Precinct 28,691,664,3,1358,1358
Precinct,029 - Precinct 29,1012,541,3,1556,1556
Precinct,030 - Precinct 30,880,1000,0,1880,1880
Precinct,031 - Precinct 31,1056,1518,3,2577,2577
Precinct,032 - Precinct 32,262,713,0,975,975
Precinct,033 - Precinct 33,287,794,2,1083,1083
Precinct,034 - Precinct 34,185,459,1,645,645
Precinct,035 - Precinct 35,1029,1275,2,2306,2306
Precinct,036 - Precinct 36,1407,728,4,2139,2139
Precinct,037 - Precinct 37,796,621,3,1420,1420
Precinct,038 - Precinct 38,1000,992,2,1994,1994
Precinct,039 - Precinct 39,773,542,2,1317,1317
Precinct,040 - Precinct 40,886,522,1,1409,1409
Precinct,041 - Precinct 41,709,221,1,931,931
Precinct,042 - Precinct 42,1015,716,5,1736,1736
Precinct,043 - Precinct 43,1062,482,3,1547,1547
Precinct,044 - Precinct 44,1010,952,2,1964,1964
Precinct,045 - Precinct 45,1059,439,2,1500,1500
Precinct,046 - Precinct 46,1031,534,6,1571,1571
Precinct,047 - Precinct 47,1127,1268,1,2396,2396
Precinct,048 - Precinct 48,626,571,1,1198,1198
Precinct,049 - Precinct 49,831,872,4,1707,1707
Precinct,050 - Precinct 50,720,318,0,1038,1038
Precinct,051 - Precinct 51,849,751,2,1602,1602
Precinct,52 - Precinct 52,1296,1070,6,2372,2372
Precinct,053 - Precinct 53,1035,864,2,1901,1901
Precinct,054 - Precinct 54,747,545,1,1293,1293
Precinct,055 - Precinct 55,1156,485,4,1645,1645
Precinct,056 - Precinct 56,521,446,0,967,967
Precinct,057 - Precinct 57,649,578,2,1229,1229
Precinct,058 - Precinct 58,757,551,1,1309,1309
Precinct,059 - Precinct 59,729,536,1,1266,1266
Precinct,060 - Precinct 60,1022,1394,1,2417,2417
Precinct,061 - Precinct 61,1235,171,4,1410,1410
Precinct,062 - Precinct 62,1104,953,3,2060,2060
Precinct,063 - Precinct 63,1285,1201,4,2490,2490
Precinct,064 - Precinct 64,1322,872,2,2196,2196
Precinct,065 - Precinct 65,1185,772,3,1960,1960
Precinct,066 - Precinct 66,794,901,4,1699,1699
Precinct,067 - Precinct 67,518,292,1,811,811
Precinct,068 - Precinct 68,910,858,4,1772,1772
Precinct,069 - Precinct 69,1188,343,0,1531,1531
Precinct,070 - Precinct 70,991,832,2,1825,1825
Precinct,071 - Precinct 71,950,609,3,1562,1562
Precinct,072 - Precinct 72,874,1072,2,1948,1948
Precinct,073 - Precinct 73,1028,374,4,1406,1406
Precinct,074 - Precinct 74,907,441,1,1349,1349
Precinct,075 - Precinct 75,994,1329,3,2326,2326
Precinct,076 - Precinct 76,1031,334,4,1369,1369
Precinct,077 - Precinct 77,897,622,5,1524,1524
Precinct,078 - Precinct 78,962,605,4,1571,1571
Precinct,079 - Precinct 79,1147,403,3,1553,1553
Precinct,080 - Precinct 80,969,366,2,1337,1337
Precinct,081 - Precinct 81,1146,647,1,1794,1794
Precinct,082 - Precinct 82,806,780,3,1589,1589
Precinct,083 - Precinct 83,959,1044,3,2006,2006
Precinct,084 - Precinct 84,1102,558,5,1665,1665
Precinct,085 - Precinct 85,1098,1175,4,2277,2277
Precinct,086 - Precinct 86,1204,901,2,2107,2107
Precinct,087 - Precinct 87,908,813,5,1726,1726
Precinct,088 - Precinct 88,833,840,5,1678,1678
Precinct,089 - Precinct 89,941,847,7,1795,1795
Precinct,090 - Precinct 90,621,628,0,1249,1249
Precinct,091 - Precinct 91,1482,826,7,2315,2315
Precinct,092 - Precinct 92,626,746,3,1375,1375
Precinct,093 - Precinct 93,1268,230,1,1499,1499
Precinct,094 - Precinct 94,642,565,3,1210,1210
Precinct,095 - Precinct 95,626,606,2,1234,1234
Precinct,096 - Precinct 96,672,384,3,1059,1059
Precinct,097 - Precinct 97,1068,495,1,1564,1564
Precinct,098 - Precinct 98,717,297,0,1014,1014
Precinct,099 - Precinct 99,636,281,0,917,917
Precinct,100 - Precinct 100,394,622,1,1017,1017
Precinct,101 - Precinct 101,239,200,0,439,439
Precinct,102 - Precinct 102,194,94,1,289,289
Precinct,103 - Precinct 103,479,177,1,657,657
Precinct,104 - Precinct 104,1110,277,5,1392,1392
Precinct,105 - Precinct 105,277,366,0,643,643
Precinct,106 - Precinct 106,715,306,1,1022,1022
Precinct,107 - Precinct 107,428,476,1,905,905
Precinct,108 - Precinct 108,303,299,0,602,602
Locality,Warren County,5757,10433,39,16229,16229
Precinct,101 - Fork Town,407,600,2,1009,1009
Precinct,102 - Otterburn,646,1525,5,2176,2176
Precinct,201 - Happy Creek,673,1159,1,1833,1833
Precinct,202 - Linden,776,1142,6,1924,1924
Precinct,301 - North River,535,687,4,1226,1226
Precinct,302 - Riverton,556,1267,7,1830,1830
Precinct,401 - East Shenandoah,686,1426,8,2120,2120
Precinct,402 - West Shenandoah,370,666,2,1038,1038
Precinct,501 - South River,718,1087,1,1806,1806
Precinct,502 - Bentonville,194,495,1,690,690
Precinct,504 - Browntown,196,379,2,577,577
Locality,Washington County,5382,15614,43,21039,21039
Precinct,101 - East Abingdon,636,1048,2,1686,1686
Precinct,102 - West Abingdon,439,608,2,1049,1049
Precinct,201 - Clinchburg,119,500,4,623,623
Precinct,202 - Greendale,204,893,5,1102,1102
Precinct,203 - Hayters Gap,76,301,1,378,378
Precinct,204 Woodland Hills,264,760,1,1025,1025
Precinct,301 - Watauga,463,1362,6,1831,1831
Precinct,302 - South Abingdon,665,1068,4,1737,1737
Precinct,401 - Glade Spring,288,907,4,1199,1199
Precinct,402 - Meadowview,368,1122,2,1492,1492
Precinct,501 - Rhea Valley,360,1592,1,1953,1953
Precinct,502 - Damascus,263,587,4,854,854
Precinct,504 - Green Cove,29,133,1,163,163
Precinct,601 - Burson Place,265,1272,1,1538,1538
Precinct,602 - Mendota,43,250,3,296,296
Precinct,603 - Valley Institute,228,832,0,1060,1060
Precinct,701 - High Point,247,1024,1,1272,1272
Precinct,702 - Wallace,108,362,0,470,470
Precinct,703 - John Battle,317,993,1,1311,1311
Locality,Waynesboro City,4459,4037,11,8507,8507
Precinct,001 - Ward A,683,597,1,1281,1281
Precinct,002 - Ward B,1432,1184,8,2624,2624
Precinct,003 - Ward C,1057,966,1,2024,2024
Precinct,004 - Ward D,1287,1290,1,2578,2578
Locality,Westmoreland County,3468,3995,8,7471,7471
Precinct,101 - Precinct 1-1,557,341,0,898,898
Precinct,102 - Precinct 1-2,316,260,1,577,577
Precinct,201 - Precinct 2-1,599,605,2,1206,1206
Precinct,301 - Precinct 3-1,366,408,1,775,775
Precinct,302 - Precinct 3-2,333,479,2,814,814
Precinct,401 - Precinct 4-1,534,1061,2,1597,1597
Precinct,501 - Precinct 5-1,763,841,0,1604,1604
Locality,Williamsburg City,5063,1647,9,6719,6719
Precinct,001 - Stryker,2146,765,4,2915,2915
Precinct,002 - Matoaka,2917,882,5,3804,3804
Locality,Winchester City,5318,3485,16,8819,8819
Precinct,101 - Merrimans,1358,855,5,2218,2218
Precinct,102 - Old Town,884,602,3,1489,1489
Precinct,201 - Virginia Avenue,951,412,1,1364,1364
Precinct,301 - War Memorial,834,589,4,1427,1427
Precinct,401 - Frederick Douglass,430,333,2,765,765
Precinct,402 - Rolling Hills,861,694,1,1556,1556
Locality,Wise County,2281,8744,22,11047,11047
Precinct,101 - Appalachia,123,440,1,564,564
Precinct,102 - Dorchester,69,329,1,399,399
Precinct,103 - Guest River Voting Place,90,342,0,432,432
Precinct,104 - West Pound,212,931,0,1143,1143
Precinct,201 - North Coeburn,96,494,1,591,591
Precinct,202 - Wise,441,1357,2,1800,1800
Precinct,203 - East Pound,59,279,2,340,340
Precinct,301 - Big Stone Gap,397,962,3,1362,1362
Precinct,302 - East Stone Gap,243,1136,6,1385,1385
Precinct,401 - Clinch Valley,263,1076,2,1341,1341
Precinct,402 - South Coeburn,175,1042,2,1219,1219
Precinct,403 - St Paul,113,356,2,471,471
Locality,Wythe County,2594,8426,24,11044,11044
Precinct,101 - Royal Oak,66,376,4,446,446
Precinct,102 - Rural Retreat,272,1201,4,1477,1477
Precinct,203 - West Wytheville,599,1161,3,1763,1763
Precinct,303 - East Wytheville,683,1191,4,1878,1878
Precinct,401 - Fort Chiswell,173,797,1,971,971
Precinct,402 - Max Meadows,161,760,0,921,921
Precinct,501 - Jackson Memorial,129,594,0,723,723
Precinct,502 - Sheffey,174,838,6,1018,1018
Precinct,601 - Huddle,69,407,1,477,477
Precinct,602 - Zion,137,635,1,773,773
Precinct,603 Evergreen,131,466,0,597,597
Locality,York County,15769,15684,47,31500,31500
Precinct,101 - Queens Lake,1068,742,1,1811,1811
Precinct,102 - Waller Mill,1722,1362,4,3088,3088
Precinct,103 - Magruder,1955,944,2,2901,2901
Precinct,201 - Coventry,1519,1226,7,2752,2752
Precinct,202 - Kiln Creek,1063,954,6,2023,2023
Precinct,301 - Seaford,859,1963,2,2824,2824
Precinct,302 - Yorktown,727,779,1,1507,1507
Precinct,303 - Edgehill,1163,865,5,2033,2033
Precinct,401 - Harwoods Mill,1074,1570,5,2649,2649
Precinct,402 - Dare,1056,1602,5,2663,2663
Precinct,403 - Grafton,843,971,2,1816,1816
Precinct,501 - Tabb,1338,1498,2,2838,2838
Precinct,502 - Bethel,1382,1208,5,2595,2595
