,,Abigail D. Spanberger,Winsome Earle Sears,Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,502 - Wassona,247,439,1,687,687
Precinct,601 - Royal Oak East,231,612,1,844,844
Precinct,602 - Royal Oak West,109,415,3,527,527
Precinct,701 - Adwolfe,143,815,2,960,960
Precinct,702 - Sugar Grove,154,429,3,586,586
Precinct,703 - Konnarock,14,69,0,83,83
Locality,Southampton County,2945,4492,8,7445,7445
Precinct,101 - Berlin,113,514,1,628,628
Precinct,102 - Ivor,287,494,0,781,781
Precinct,201 - Boykins-Branchville,411,339,1,751,751
Precinct,301 - Capron-Drewryville,326,508,0,834,834
Precinct,302 - Sebrell,219,372,0,591,591
Precinct,501 - Darden Mill,227,422,2,651,651
Precinct,502 - Fairgrounds,253,506,1,760,760
Precinct,601 - Courtland,383,449,2,834,834
Precinct,602 - Sedley,37,168,0,205,205
Precinct,701 - Blackwater River,359,358,0,717,717
Precinct,702 - Newsoms,330,362,1,693,693
Locality,Spotsylvania County,30748,29015,104,59867,59867
Precinct,101 - Partlow Ruritan,498,1330,2,1830,1830
Precinct,102 - Berkeley,581,1310,5,1896,1896
Precinct,103 - John J Wright,1637,1594,3,3234,3234
Precinct,104 - Massaponax High,1355,937,3,2295,2295
Precinct,201 - Wilderness Elementary,739,728,1,1468,1468
Precinct,202 - Fire Rescue 7,1159,1526,3,2688,2688
Precinct,203 - Ni River Middle,1148,1326,5,2479,2479
Precinct,204 - Chancellor Elementary,1217,978,6,2201,2201
Precinct,301 - Salem Elementary,780,655,1,1436,1436
Precinct,302 - Salem Library,1438,1001,5,2444,2444
Precinct,303 - Riverbend High,1492,1484,12,2988,2988
Precinct,304 - Knights Of Pythias,951,771,4,1726,1726
Precinct,401 - Cosner Park,1168,752,7,1927,1927
Precinct,402 - Germanna Campus,1373,851,3,2227,2227
Precinct,403 - Lee Hill Elementary,1364,960,7,2331,2331
Precinct,404 - New Post Church,838,518,3,1359,1359
Precinct,501 - Belmont Ruritan,544,1057,2,1603,1603
Precinct,502 - Fire Rescue 2,442,1035,3,1480,1480
Precinct,503 - Spotsylvania High,422,1092,1,1515,1515
Precinct,504 - Public Safety,953,1190,3,2146,2146
Precinct,505 - Brock Road Elementary,1387,1757,2,3146,3146
Precinct,601 - Battlefield Elementary,1067,785,4,1856,1856
Precinct,602 - Smith Station Elementary,1421,856,2,2279,2279
Precinct,603 - Chancellor High,769,592,0,1361,1361
Precinct,604 - Courthouse Road Elementary,927,671,6,1604,1604
Precinct,701 - Spotswood Elementary,1024,672,3,1699,1699
Precinct,702 - Eastland Church,1091,671,3,1765,1765
Precinct,703 - Lees Parke,1465,648,1,2114,2114
Precinct,704 - Courtland Elementary,1498,1268,4,2770,2770
Locality,Stafford County,35327,27774,115,63216,63216
Precinct,101 - Hartwood,1145,1842,1,2988,2988
Precinct,102 - Simpson,1001,1151,2,2154,2154
Precinct,103 - College,1088,686,4,1778,1778
Precinct,104 - Westlake,544,857,1,1402,1402
Precinct,105 - Rocky Run,606,421,0,1027,1027
Precinct,106 - Forge,608,386,2,996,996
Precinct,201 - Rock Hill,1433,1060,4,2497,2497
Precinct,202 - Roseville,905,1205,1,2111,2111
Precinct,203 - Ruby,638,1080,8,1726,1726
Precinct,204 - Stefaniga,1156,998,3,2157,2157
Precinct,205 - Mount Ararat,509,344,0,853,853
Precinct,301 - Staffordboro,654,216,1,871,871
Precinct,302 - Widewater,715,674,6,1395,1395
Precinct,303 - Barrett Heights,557,308,0,865,865
Precinct,304 - Aquia Episcopal,426,110,1,537,537
Precinct,305 - Griffis,352,153,1,506,506
Precinct,306 - Midway,929,286,4,1219,1219
Precinct,401 - Courthouse,1362,420,5,1787,1787
Precinct,402 - Brooke,691,756,2,1449,1449
Precinct,403 - Harbour,698,620,1,1319,1319
Precinct,404 - Government Island,864,803,1,1668,1668
Precinct,405 - Hope,1385,1120,9,2514,2514
Precinct,406 - Aquia,210,48,0,258,258
Precinct,501 - Grafton,1526,1402,6,2934,2934
Precinct,502 - Falmouth,1152,851,5,2008,2008
Precinct,503 - Drew,1400,1002,2,2404,2404
Precinct,504 - Gayle,1164,666,3,1833,1833
Precinct,505 - Eskimo Hill,386,283,2,671,671
Precinct,601 - Ferry Farm,921,1010,1,1932,1932
Precinct,602 - Chatham,1134,1009,5,2148,2148
Precinct,603 - White Oak,844,1489,5,2338,2338
Precinct,604 - England Run,501,210,3,714,714
Precinct,605 - Melchers,1725,983,6,2714,2714
Precinct,701 - Park Ridge,1383,824,3,2210,2210
Precinct,702 - Whitson,1022,421,5,1448,1448
Precinct,703 - Hampton,1485,998,7,2490,2490
Precinct,704 - Poole,2208,1082,5,3295,3295
Locality,Staunton City,6580,4236,18,10834,10834
Precinct,101 - Ward No 1,1365,857,4,2226,2226
Precinct,201 - Ward No 2,1198,1129,4,2331,2331
Precinct,301 - Ward No 3,1235,926,3,2164,2164
Precinct,401 - Ward No 4,1186,743,2,1931,1931
Precinct,501 - Ward No 5,1596,581,5,2182,2182
Locality,Suffolk City,25696,15935,80,41711,41711
Precinct,101 - Belleharbour,644,246,4,894,894
Precinct,102 - Driver,1356,1651,3,3010,3010
Precinct,104 - Bennetts Creek,681,434,0,1115,1115
Precinct,105 - Harbourview,1713,914,5,2632,2632
Precinct,201 - Ebenezer,591,877,5,1473,1473
Precinct,202 - Chuckatuck,652,786,3,1441,1441
Precinct,203 - Kings Fork,1522,528,5,2055,2055
Precinct,204 - Hillpoint,1444,554,3,2001,2001
Precinct,301 - White Marsh,290,131,2,423,423
Precinct,302 - John F Kennedy,1343,146,2,1491,1491
