,,Kamala D. Harris,Donald J. Trump,Jill E. Stein,Chase R. Oliver,Cornel R. West,Claudia De la Cruz,Write-Ins,Total Votes Cast
,,Democratic,Republican,Green,Libertarian,Independent,Independent,,
Locality,Williamsburg City,5613,2119,46,39,17,17,43,7894
Precinct,001 - Stryker,2442,989,17,23,9,12,16,3508
Precinct,002 - Matoaka,2817,998,23,15,6,4,25,3888
Precinct,Williamsburg City Provisionals,354,132,6,1,2,1,2,498
Locality,Winchester City,6407,5252,50,65,19,29,72,11894
Precinct,101 - Merrimans,1512,1046,16,6,6,3,18,2607
Precinct,102 - Old Town,1040,806,10,10,5,8,21,1900
Precinct,201 - Virginia Avenue,1151,768,8,13,3,3,5,1951
Precinct,301 - War Memorial,1035,962,7,9,0,4,10,2027
Precinct,401 - Frederick Douglass,524,564,2,12,0,4,2,1108
Precinct,402 - Rolling Hills,975,976,5,13,4,6,16,1995
Precinct,Winchester City Provisionals,170,130,2,2,1,1,0,306
Locality,Wise County,3036,13655,34,32,8,11,36,16812
Precinct,101 - Appalachia,162,773,1,3,0,1,1,941
Precinct,102 - Dorchester,105,545,0,2,1,0,1,654
Precinct,103 - Guest River Voting Place,116,523,0,1,0,0,1,641
Precinct,104 - West Pound,282,1443,5,2,1,2,4,1739
Precinct,201 - North Coeburn,139,782,1,2,0,2,1,927
Precinct,202 - Wise,577,2035,8,6,2,3,5,2636
Precinct,203 - East Pound,77,420,1,0,1,0,1,500
Precinct,301 - Big Stone Gap,486,1506,3,3,0,2,4,2004
Precinct,302 - East Stone Gap,333,1736,6,4,0,0,8,2087
Precinct,401 - Clinch Valley,322,1520,3,3,1,0,3,1852
Precinct,402 - South Coeburn,237,1608,2,4,1,0,4,1856
Precinct,403 - St Paul,137,495,1,1,0,0,3,637
Precinct,WISE COUNTY PROVISIONALS,63,269,3,1,1,1,0,338
Locality,Wythe County,3075,12267,27,42,13,15,36,15475
Precinct,101 - Royal Oak,90,508,1,2,0,1,0,602
Precinct,102 - Rural Retreat,342,1685,0,2,1,0,7,2037
Precinct,203 - West Wytheville,721,1698,11,8,4,2,2,2446
Precinct,303 - East Wytheville,774,1680,2,10,2,5,7,2480
Precinct,401 - Fort Chiswell,199,1095,2,4,1,0,3,1304
Precinct,402 - Max Meadows,205,1114,6,5,1,2,6,1339
Precinct,501 - Jackson Memorial,135,858,1,5,0,1,1,1001
Precinct,502 - Sheffey,196,1206,0,1,2,2,4,1411
Precinct,601 - Huddle,69,603,0,1,0,0,0,673
Precinct,602 - Zion,152,927,0,1,1,1,4,1086
Precinct,603 Evergreen,142,656,3,3,0,1,2,807
Precinct,WYTHE COUNTY PROVISIONALS,50,237,1,0,1,0,0,289
Locality,York County,18296,20722,163,203,80,76,209,39749
Precinct,101 - Queens Lake,1199,909,6,15,2,6,11,2148
Precinct,102 - Waller Mill,1912,1683,8,17,7,9,19,3655
Precinct,103 - Magruder,2107,1340,13,12,6,8,11,3497
Precinct,201 - Coventry,1691,1686,24,28,8,8,19,3464
Precinct,202 - Kiln Creek,1243,1310,11,15,8,7,16,2610
Precinct,301 - Seaford,958,2435,10,11,2,4,15,3435
Precinct,302 - Yorktown,823,950,3,10,2,4,7,1799
Precinct,303 - Edgehill,1372,1143,13,14,7,6,9,2564
Precinct,401 - Harwoods Mill,1197,1958,11,17,7,6,22,3218
Precinct,402 - Dare,1266,2056,16,13,13,5,16,3385
Precinct,403 - Grafton,961,1303,8,7,3,3,9,2294
Precinct,501 - Tabb,1489,1813,12,22,6,7,27,3376
Precinct,502 - Bethel,1683,1614,18,20,5,2,27,3369
Precinct,YORK COUNTY PROVISIONALS,395,522,10,2,4,1,1,935
