,,Gerald Edward Connolly,James G. Myles,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Precinct,729 - Nottoway,707,331,4,1042,0
Precinct,731 - Tysons,778,370,6,1154,0
Precinct,732 - Oak Marr,789,626,4,1419,0
Precinct,733 - Kilmer,1044,484,4,1532,0
Precinct,734 - Hunters Branch,482,247,3,732,0
Precinct,735 - Rotonda,362,187,4,553,0
Precinct,736 - Bedford,120,51,0,171,0
Precinct,737 - Mosby #2,190,80,2,272,0
Precinct,801 - Burke #1,550,332,3,885,0
Precinct,802 - Cedar Lake,301,166,1,468,0
Precinct,804 - Colchester,390,428,0,818,0
Precinct,805 - Fairfax Station,354,327,0,681,0
Precinct,806 - Sydenstricker,818,550,3,1371,0
Precinct,807 - Hunt Valley,661,427,5,1093,0
Precinct,811 - Pohick,480,267,4,751,0
Precinct,812 - Valley,714,471,4,1189,0
Precinct,824 - Orange,1018,689,9,1716,0
Precinct,825 - Cherry Run,706,514,3,1223,0
Precinct,833 - White Oaks,731,476,6,1213,0
Precinct,838 - Sangster,585,456,3,1044,0
Precinct,839 - Silverbrook,839,712,3,1554,0
Precinct,841 - Popes Head,360,371,3,734,0
Precinct,842 - Parkway,484,503,2,989,0
Precinct,843 - Fair Lakes,794,485,4,1283,0
Precinct,844 - Centerpointe,513,257,1,771,0
Precinct,845 - Fountainhead,714,837,2,1553,0
Precinct,846 - Greenbriar East,734,454,3,1191,0
Precinct,847 - Greenbriar West,600,411,5,1016,0
Precinct,848 - Fair Oaks,669,452,4,1125,0
Precinct,849 - Newgate North,678,523,3,1204,0
Precinct,850 - South Run,614,583,3,1200,0
Precinct,851 - Willow Springs #1,249,221,2,472,0
Precinct,854 - Newgate South,610,612,2,1224,0
Precinct,855 - Saratoga,841,546,8,1395,0
Precinct,856 - Penderbrook,914,484,0,1398,0
Precinct,857 - Island Pond,35,26,0,61,0
Precinct,861 - Burke #2,472,292,4,768,0
Precinct,901 - Centre Ridge,639,392,1,1032,0
Precinct,902 - Brookfield,828,608,11,1447,0
Precinct,903 - Cub Run,908,702,2,1612,0
Precinct,904 - Stonecroft,296,319,0,615,0
Precinct,905 - Franklin,755,462,6,1223,0
Precinct,908 - Hidden Meadow,623,417,4,1044,0
Precinct,909 - Oak Hill,589,372,1,962,0
Precinct,910 - London Towne,841,501,2,1344,0
Precinct,911 - Navy,880,601,4,1485,0
Precinct,913 - Rocky Run,1003,823,5,1831,0
Precinct,914 - Vale,614,512,2,1128,0
Precinct,916 - Waples Mill,999,820,5,1824,0
Precinct,917 - Stone,831,517,2,1350,0
Precinct,918 - Centreville,915,548,4,1467,0
Precinct,919 - Green Trails,964,551,5,1520,0
Precinct,920 - Chantilly,417,345,2,764,0
Precinct,921 - Deer Park,709,639,2,1350,0
Precinct,924 - Spindle #1,368,192,4,564,0
Precinct,925 - Old Mill,410,318,2,730,0
Precinct,926 - Powell,825,546,3,1374,0
Precinct,927 - Armfield,620,434,2,1056,0
Precinct,928 - Poplar Tree,693,562,2,1257,0
Precinct,929 - Difficult Run,133,141,3,277,0
Precinct,931 - Carson,530,295,5,830,0
Precinct,934 - Fox Valley,327,155,1,483,0
Precinct,935 - Spindle #2,125,68,0,193,0
Precinct,Ab - Central Absentee Precinct,27206,5630,79,32915,0
Precinct,Provisional,3171,1011,22,4204,0
