,,Mark Lee Keam,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,,,
State House District,35,9203,520,9723,0
Locality,Fairfax County,9203,520,9723,0
Precinct,204 - Madison,145,3,148,0
Precinct,213 - Vienna #1,820,39,859,0
Precinct,214 - Vienna #2,638,31,669,0
Precinct,216 - Vienna #4,299,8,307,0
Precinct,218 - Vienna #6,436,11,447,0
Precinct,701 - Blake,680,46,726,0
Precinct,704 - Freedom Hill,402,14,416,0
Precinct,719 - Stenwood,0,0,0,0
Precinct,720 - Thoreau,725,66,791,0
Precinct,726 - Magarity,467,27,494,0
Precinct,727 - Oakton,535,34,569,0
Precinct,729 - Nottoway,658,42,700,0
Precinct,730 - Penderbrook,491,33,524,0
Precinct,731 - Tysons,273,18,291,0
Precinct,732 - Oak Marr,598,41,639,0
Precinct,733 - Kilmer,669,25,694,0
Precinct,734 - Hunters Branch,326,25,351,0
Precinct,802 - Cedar Lake,145,12,157,0
Precinct,844 - Centerpointe,287,19,306,0
Precinct,Provisional,4,0,4,0
